KOs	KO_count	KO_frequency
K00001	1	0.0312500000
K00002	17	0.5312500000
K00003	29	0.9062500000
K00004	1	0.0312500000
K00005	0	0.0000000000
K00006	0	0.0000000000
K00007	0	0.0000000000
K00008	30	0.9375000000
K00009	0	0.0000000000
K00010	26	0.8125000000
K00011	0	0.0000000000
K00012	31	0.9687500000
K00013	32	1.0000000000
K00014	0	0.0000000000
K00015	8	0.2500000000
K00016	4	0.1250000000
K00018	5	0.1562500000
K00019	11	0.3437500000
K00020	27	0.8437500000
K00021	0	0.0000000000
K00022	0	0.0000000000
K00023	1	0.0312500000
K00024	25	0.7812500000
K00025	1	0.0312500000
K00026	0	0.0000000000
K00027	3	0.0937500000
K00028	0	0.0000000000
K00029	12	0.3750000000
K00030	26	0.8125000000
K00031	22	0.6875000000
K00032	0	0.0000000000
K00033	30	0.9375000000
K00034	28	0.8750000000
K00035	0	0.0000000000
K00036	30	0.9375000000
K00037	0	0.0000000000
K00038	2	0.0625000000
K00039	0	0.0000000000
K00040	0	0.0000000000
K00041	1	0.0312500000
K00042	1	0.0312500000
K00043	0	0.0000000000
K00044	0	0.0000000000
K00045	1	0.0312500000
K00046	7	0.2187500000
K00048	0	0.0000000000
K00049	0	0.0000000000
K00051	0	0.0000000000
K00052	31	0.9687500000
K00053	31	0.9687500000
K00054	0	0.0000000000
K00055	3	0.0937500000
K00057	32	1.0000000000
K00058	32	1.0000000000
K00059	32	1.0000000000
K00060	20	0.6250000000
K00061	0	0.0000000000
K00062	0	0.0000000000
K00063	0	0.0000000000
K00064	14	0.4375000000
K00065	30	0.9375000000
K00066	7	0.2187500000
K00067	30	0.9375000000
K00068	0	0.0000000000
K00069	0	0.0000000000
K00070	0	0.0000000000
K00071	0	0.0000000000
K00072	0	0.0000000000
K00073	0	0.0000000000
K00074	32	1.0000000000
K00075	31	0.9687500000
K00076	0	0.0000000000
K00077	25	0.7812500000
K00078	0	0.0000000000
K00079	3	0.0937500000
K00081	0	0.0000000000
K00082	0	0.0000000000
K00083	0	0.0000000000
K00084	0	0.0000000000
K00085	0	0.0000000000
K00086	0	0.0000000000
K00087	12	0.3750000000
K00088	32	1.0000000000
K00089	0	0.0000000000
K00090	0	0.0000000000
K00091	30	0.9375000000
K00093	0	0.0000000000
K00094	0	0.0000000000
K00095	0	0.0000000000
K00096	0	0.0000000000
K00097	1	0.0312500000
K00098	0	0.0000000000
K00099	32	1.0000000000
K00100	0	0.0000000000
K00101	0	0.0000000000
K00102	2	0.0625000000
K00103	1	0.0312500000
K00104	14	0.4375000000
K00105	0	0.0000000000
K00106	0	0.0000000000
K00107	0	0.0000000000
K00108	11	0.3437500000
K00109	1	0.0312500000
K00111	27	0.8437500000
K00112	0	0.0000000000
K00113	3	0.0937500000
K00114	15	0.4687500000
K00115	1	0.0312500000
K00116	8	0.2500000000
K00117	18	0.5625000000
K00118	26	0.8125000000
K00119	0	0.0000000000
K00120	0	0.0000000000
K00121	3	0.0937500000
K00122	6	0.1875000000
K00123	25	0.7812500000
K00124	9	0.2812500000
K00125	2	0.0625000000
K00126	0	0.0000000000
K00127	5	0.1562500000
K00128	4	0.1250000000
K00129	0	0.0000000000
K00130	8	0.2500000000
K00131	0	0.0000000000
K00132	2	0.0625000000
K00133	32	1.0000000000
K00134	32	1.0000000000
K00135	15	0.4687500000
K00137	0	0.0000000000
K00138	21	0.6562500000
K00139	0	0.0000000000
K00140	21	0.6562500000
K00141	2	0.0625000000
K00142	0	0.0000000000
K00143	0	0.0000000000
K00145	28	0.8750000000
K00146	0	0.0000000000
K00147	8	0.2500000000
K00148	21	0.6562500000
K00149	0	0.0000000000
K00150	1	0.0312500000
K00151	0	0.0000000000
