KOs	KO_count	KO_frequency
K00001	1745	0.5273496525
K00002	123	0.0371713509
K00003	3270	0.9882139619
K00004	1702	0.5143547900
K00005	189	0.0571169538
K00006	0	0.0000000000
K00007	2	0.0006044122
K00008	1882	0.5687518888
K00009	558	0.1686310063
K00010	2133	0.6446056210
K00011	7	0.0021154427
K00012	2911	0.8797219704
K00013	3142	0.9495315805
K00014	3227	0.9752190994
K00015	423	0.1278331822
K00016	1237	0.3738289513
K00018	88	0.0265941372
K00019	787	0.2378362043
K00020	2475	0.7479601088
K00021	299	0.0903596253
K00022	49	0.0148080991
K00023	146	0.0441220913
K00024	295	0.0891508008
K00025	2180	0.6588093079
K00026	3	0.0009066183
K00027	2275	0.6875188879
K00028	0	0.0000000000
K00029	177	0.0534904805
K00030	145	0.0438198852
K00031	3119	0.9425808401
K00032	3	0.0009066183
K00033	3065	0.9262617105
K00034	2613	0.7896645512
K00035	8	0.0024176488
K00036	3032	0.9162889090
K00037	0	0.0000000000
K00038	2182	0.6594137202
K00039	39	0.0117860381
K00040	1873	0.5660320338
K00041	43	0.0129948625
K00042	1292	0.3904502871
K00043	38	0.0114838320
K00044	13	0.0039286794
K00045	805	0.2432759142
K00046	715	0.2160773648
K00048	278	0.0840132971
K00049	25	0.0075551526
K00051	0	0.0000000000
K00052	2700	0.8159564823
K00053	3202	0.9676639468
K00054	151	0.0456331218
K00055	1016	0.3070414022
K00057	3236	0.9779389544
K00058	3196	0.9658507102
K00059	3081	0.9310970082
K00060	1183	0.3575098217
K00061	61	0.0184345724
K00062	0	0.0000000000
K00063	0	0.0000000000
K00064	1181	0.3569054095
K00065	873	0.2638259293
K00066	294	0.0888485947
K00067	1920	0.5802357208
K00068	128	0.0386823814
K00069	25	0.0075551526
K00070	5	0.0015110305
K00071	3	0.0009066183
K00072	0	0.0000000000
K00073	158	0.0477485645
K00074	2598	0.7851314597
K00075	3258	0.9845874887
K00076	1405	0.4245995769
K00077	2096	0.6334239952
K00078	1580	0.4774856452
K00079	302	0.0912662436
K00081	0	0.0000000000
K00082	0	0.0000000000
K00083	2	0.0006044122
K00084	2	0.0006044122
K00085	0	0.0000000000
K00086	203	0.0613478392
K00087	831	0.2511332729
K00088	3302	0.9978845573
K00089	0	0.0000000000
K00090	25	0.0075551526
K00091	1581	0.4777878513
K00093	0	0.0000000000
K00094	19	0.0057419160
K00095	2	0.0006044122
K00096	762	0.2302810517
K00097	77	0.0232698701
K00098	635	0.1919008764
K00099	3209	0.9697793895
K00100	30	0.0090661831
K00101	1376	0.4158355999
K00102	175	0.0528860683
K00103	177	0.0534904805
K00104	2641	0.7981263222
K00105	0	0.0000000000
K00106	5	0.0015110305
K00107	1	0.0003022061
K00108	1808	0.5463886371
K00109	106	0.0320338471
K00111	2884	0.8715624056
K00112	129	0.0389845875
K00113	839	0.2535509217
K00114	175	0.0528860683
K00115	103	0.0311272288
K00116	1830	0.5530371714
K00117	7	0.0021154427
K00118	62	0.0187367785
K00119	941	0.2843759444
K00120	232	0.0701118163
K00121	1176	0.3553943790
K00122	328	0.0991236023
K00123	2312	0.6987005138
K00124	997	0.3012994862
K00125	2	0.0006044122
K00126	101	0.0305228166
K00127	381	0.1151405258
K00128	385	0.1163493503
K00129	1134	0.3427017226
K00130	2577	0.7787851315
K00131	4	0.0012088244
K00132	164	0.0495618011
K00133	3257	0.9842852826
K00134	3303	0.9981867634
K00135	2913	0.8803263826
K00137	494	0.1492898157
K00138	2414	0.7295255364
K00139	2	0.0006044122
K00140	2527	0.7636748262
K00141	603	0.1822302811
K00142	143	0.0432154730
K00143	10	0.0030220610
K00145	3116	0.9416742218
K00146	1109	0.3351465700
K00147	3188	0.9634330613
K00148	2067	0.6246600181
K00149	0	0.0000000000
K00150	63	0.0190389846
K00151	678	0.2048957389
K00152	7	0.0021154427
K00153	2300	0.6950740405
K00154	404	0.1220912662
K00155	2	0.0006044122
K00156	2475	0.7479601088
K00157	0	0.0000000000
K00158	128	0.0386823814
K00161	464	0.1402236325
K00162	482	0.1456633424
K00163	2956	0.8933212451
K00164	26	0.0078573587
K00166	2516	0.7603505591
K00167	2522	0.7621637957
K00169	108	0.0326382593
K00170	106	0.0320338471
K00171	101	0.0305228166
K00172	118	0.0356603203
K00174	1780	0.5379268661
K00175	1723	0.5207011182
K00176	150	0.0453309157
K00177	66	0.0199456029
K00179	124	0.0374735570
K00180	111	0.0335448776
K00181	0	0.0000000000
K00182	0	0.0000000000
K00184	64	0.0193411907
K00185	65	0.0196433968
K00186	6	0.0018132366
K00187	61	0.0184345724
K00188	4	0.0012088244
K00189	0	0.0000000000
K00192	0	0.0000000000
K00193	0	0.0000000000
K00194	0	0.0000000000
K00195	0	0.0000000000
K00196	111	0.0335448776
K00197	2	0.0006044122
K00198	0	0.0000000000
K00200	0	0.0000000000
K00201	0	0.0000000000
K00202	3	0.0009066183
K00203	0	0.0000000000
K00204	26	0.0078573587
K00205	23	0.0069507404
K00206	27	0.0081595648
K00207	0	0.0000000000
K00208	20	0.0060441221
K00209	108	0.0326382593
K00211	0	0.0000000000
K00212	0	0.0000000000
K00213	2	0.0006044122
K00214	0	0.0000000000
K00215	3235	0.9776367483
K00216	648	0.1958295558
K00217	510	0.1541251133
K00218	316	0.0954971290
K00219	1477	0.4463584164
K00220	18	0.0054397099
K00221	414	0.1251133273
K00222	9	0.0027198549
K00223	0	0.0000000000
K00224	19	0.0057419160
K00225	0	0.0000000000
K00226	138	0.0417044424
K00227	43	0.0129948625
K00228	25	0.0075551526
K00230	1082	0.3269870051
K00231	3062	0.9253550922
K00232	2187	0.6609247507
K00233	23	0.0069507404
K00234	20	0.0060441221
K00235	16	0.0048352977
K00236	10	0.0030220610
K00237	0	0.0000000000
K00239	3104	0.9380477486
K00240	3105	0.9383499547
K00241	2933	0.8863705047
K00242	2289	0.6917497733
K00243	4	0.0012088244
K00244	103	0.0311272288
K00245	94	0.0284073738
K00246	80	0.0241764884
K00247	80	0.0241764884
K00248	1829	0.5527349652
K00249	1952	0.5899063161
K00251	0	0.0000000000
K00252	2488	0.7518887882
K00253	161	0.0486551828
K00254	2908	0.8788153521
K00255	2026	0.6122695678
K00257	423	0.1278331822
K00258	0	0.0000000000
K00259	2556	0.7724388033
K00260	275	0.0831066788
K00261	607	0.1834391055
K00262	2020	0.6104563312
K00263	390	0.1178603808
K00264	210	0.0634632820
K00265	2889	0.8730734361
K00266	2777	0.8392263524
K00270	0	0.0000000000
K00271	967	0.2922333031
K00272	0	0.0000000000
K00273	849	0.2565729828
K00274	1592	0.4811121185
K00275	2405	0.7268056815
K00276	1032	0.3118766999
K00277	158	0.0477485645
K00278	2559	0.7733454216
K00279	457	0.1381081898
K00280	43	0.0129948625
K00281	2781	0.8404351768
K00282	79	0.0238742823
K00283	77	0.0232698701
K00284	4	0.0012088244
K00285	975	0.2946509519
K00286	3243	0.9800543971
K00287	2320	0.7011181626
K00288	11	0.0033242672
K00289	3	0.0009066183
K00290	144	0.0435176791
K00293	83	0.0250831067
K00294	1577	0.4765790269
K00295	22	0.0066485343
K00296	0	0.0000000000
K00297	2456	0.7422181928
K00298	520	0.1571471744
K00299	2320	0.7011181626
K00300	1	0.0003022061
K00301	1578	0.4768812330
K00302	614	0.1855545482
K00303	531	0.1604714415
K00304	463	0.1399214264
K00305	519	0.1568449683
K00306	30	0.0090661831
K00307	51	0.0154125113
K00308	2	0.0006044122
K00309	709	0.2142641281
K00310	6	0.0018132366
K00311	18	0.0054397099
K00312	0	0.0000000000
K00313	190	0.0574191599
K00314	3	0.0009066183
K00315	222	0.0670897552
K00316	35	0.0105772137
K00317	141	0.0426110607
K00318	1662	0.5022665458
K00319	0	0.0000000000
K00320	2490	0.7524932004
K00322	793	0.2396494409
K00323	879	0.2656391659
K00324	1069	0.3230583258
K00325	1794	0.5421577516
K00326	13	0.0039286794
K00327	0	0.0000000000
K00330	2028	0.6128739801
K00331	2010	0.6074342702
K00332	2003	0.6053188274
K00333	2018	0.6098519190
K00334	1989	0.6010879420
K00335	2089	0.6313085524
K00336	2166	0.6545784225
K00337	2074	0.6267754609
K00338	1900	0.5741915987
K00339	2047	0.6186158960
K00340	2022	0.6110607434
K00341	2061	0.6228467815
K00342	2061	0.6228467815
K00343	2061	0.6228467815
K00344	2920	0.8824418253
K00345	0	0.0000000000
K00346	3	0.0009066183
K00347	3	0.0009066183
K00348	3	0.0009066183
K00349	3	0.0009066183
K00350	3	0.0009066183
K00351	45	0.0135992747
K00354	357	0.1078875793
K00355	1020	0.3082502267
K00357	0	0.0000000000
K00359	1474	0.4454517981
K00360	993	0.3000906618
K00361	13	0.0039286794
K00362	2072	0.6261710487
K00363	1994	0.6025989725
K00364	35	0.0105772137
K00365	1363	0.4119069205
K00366	15	0.0045330916
K00367	957	0.2892112421
K00368	662	0.2000604412
K00370	1258	0.3801752795
K00371	1250	0.3777576307
K00372	1332	0.4025385313
K00373	1287	0.3889392566
K00374	1265	0.3822907223
K00375	2794	0.8443638561
K00376	4	0.0012088244
K00378	0	0.0000000000
K00380	707	0.2136597159
K00381	15	0.0045330916
K00382	3144	0.9501359927
K00383	67	0.0202478090
K00384	3296	0.9960713206
K00385	81	0.0244786945
K00386	7	0.0021154427
K00387	1037	0.3133877304
K00389	1876	0.5669386522
K00390	2282	0.6896343306
K00392	2282	0.6896343306
K00394	132	0.0398912058
K00395	505	0.1526140828
K00399	0	0.0000000000
K00400	0	0.0000000000
K00401	0	0.0000000000
K00402	0	0.0000000000
K00404	10	0.0030220610
K00405	10	0.0030220610
K00406	15	0.0045330916
K00407	8	0.0024176488
K00408	0	0.0000000000
K00410	14	0.0042308855
K00411	13	0.0039286794
K00412	1	0.0003022061
