KOs	KO_count	KO_frequency
K00001	1889	0.2213758350
K00002	248	0.0290636353
K00003	7777	0.9114027892
K00004	3117	0.3652877066
K00005	2030	0.2378999180
K00006	0	0.0000000000
K00007	2	0.0002343842
K00008	3764	0.4411109809
K00009	2374	0.2782139927
K00010	3956	0.4636118598
K00011	55	0.0064455643
K00012	5278	0.6185397867
K00013	6304	0.7387788585
K00014	7295	0.8549162077
K00015	1867	0.2187976093
K00016	5659	0.6631899684
K00018	1284	0.1504746279
K00019	1159	0.1358256182
K00020	5062	0.5932262979
K00021	309	0.0362123520
K00022	190	0.0222664948
K00023	383	0.0448845658
K00024	1888	0.2212586429
K00025	2182	0.2557131138
K00026	3	0.0003515762
K00027	5457	0.6395171686
K00028	0	0.0000000000
K00029	182	0.0213289582
K00030	2678	0.3138403844
K00031	3985	0.4670104301
K00032	5	0.0005859604
K00033	6694	0.7844837689
K00034	5353	0.6273291925
K00035	10	0.0011719208
K00036	6376	0.7472166882
K00037	0	0.0000000000
K00038	3128	0.3665768194
K00039	49	0.0057424118
K00040	2590	0.3035274815
K00041	938	0.1099261690
K00042	1845	0.2162193836
K00043	46	0.0053908356
K00044	58	0.0067971405
K00045	811	0.0950427751
K00046	1443	0.1691081683
K00048	985	0.1154341966
K00049	114	0.0133598969
K00051	0	0.0000000000
K00052	6495	0.7611625454
K00053	7013	0.8218680417
K00054	2480	0.2906363530
K00055	1482	0.1736786593
K00057	8278	0.9701160202
K00058	7137	0.8363998594
K00059	8111	0.9505449432
K00060	1693	0.1984061877
K00061	65	0.0076174851
K00062	0	0.0000000000
K00063	0	0.0000000000
K00064	1409	0.1651236376
K00065	2436	0.2854799016
K00066	311	0.0364467362
K00067	4856	0.5690847299
K00068	899	0.1053556780
K00069	97	0.0113676315
K00070	10	0.0011719208
K00071	3	0.0003515762
K00072	0	0.0000000000
K00073	682	0.0799249971
K00074	4927	0.5774053674
K00075	8348	0.9783194656
K00076	1699	0.1991093402
K00077	5473	0.6413922419
K00078	3081	0.3610687917
K00079	483	0.0566037736
K00081	0	0.0000000000
K00082	25	0.0029298019
K00083	3	0.0003515762
K00084	2	0.0002343842
K00085	0	0.0000000000
K00086	1592	0.1865697879
K00087	1726	0.2022735263
K00088	8402	0.9846478378
K00089	0	0.0000000000
K00090	649	0.0760576585
K00091	2393	0.2804406422
K00093	6	0.0007031525
K00094	222	0.0260166413
K00095	2	0.0002343842
K00096	1459	0.1709832415
K00097	257	0.0301183640
K00098	674	0.0789874604
K00099	6130	0.7183874370
K00100	754	0.0883628267
K00101	2129	0.2495019337
K00102	666	0.0780499238
K00103	180	0.0210945740
K00104	3940	0.4617367866
K00105	995	0.1166061174
K00106	5	0.0005859604
K00107	1	0.0001171921
K00108	2292	0.2686042424
K00109	1089	0.1276221727
K00111	4700	0.5508027657
K00112	195	0.0228524552
K00113	923	0.1081682878
K00114	207	0.0242587601
K00115	114	0.0133598969
K00116	3202	0.3752490332
K00117	7	0.0008203445
K00118	106	0.0124223602
K00119	943	0.1105121294
K00120	232	0.0271885621
K00121	1629	0.1909058948
K00122	489	0.0573069261
K00123	3354	0.3930622290
K00124	1080	0.1265674440
K00125	154	0.0180475800
K00126	102	0.0119535919
K00127	489	0.0573069261
K00128	421	0.0493378648
K00129	1157	0.1355912340
K00130	3699	0.4334934958
K00131	1067	0.1250439470
K00132	980	0.1148482363
K00133	8136	0.9534747451
K00134	8456	0.9909762100
K00135	4710	0.5519746865
K00137	497	0.0582444627
K00138	3452	0.4045470526
K00139	2	0.0002343842
K00140	3647	0.4273995078
K00141	603	0.0706668229
K00142	217	0.0254306809
K00143	25	0.0029298019
K00145	6222	0.7291691082
K00146	1158	0.1357084261
K00147	7122	0.8346419782
K00148	3149	0.3690378530
K00149	0	0.0000000000
K00150	92	0.0107816712
K00151	828	0.0970350404
K00152	7	0.0008203445
K00153	2303	0.2698933552
K00154	469	0.0549630845
K00155	4	0.0004687683
K00156	2639	0.3092698934
K00157	0	0.0000000000
K00158	2241	0.2626274464
K00161	669	0.0784015001
K00162	764	0.0895347475
K00163	2957	0.3465369741
K00164	1355	0.1587952654
K00166	4949	0.5799835931
K00167	4963	0.5816242822
K00169	621	0.0727762803
K00170	382	0.0447673737
K00171	549	0.0643384507
K00172	660	0.0773467714
K00174	3487	0.4086487753
K00175	3109	0.3643501699
K00176	894	0.1047697176
K00177	657	0.0769951951
K00179	746	0.0874252901
K00180	729	0.0854330247
K00181	0	0.0000000000
K00182	0	0.0000000000
K00184	108	0.0126567444
K00185	130	0.0152349701
K00186	33	0.0038673386
K00187	593	0.0694949021
K00188	34	0.0039845306
K00189	11	0.0012891129
K00192	4	0.0004687683
K00193	62	0.0072659088
K00194	298	0.0349232392
K00195	0	0.0000000000
K00196	1272	0.1490683230
K00197	321	0.0376186570
K00198	612	0.0717215516
K00200	11	0.0012891129
K00201	8	0.0009375366
K00202	18	0.0021094574
K00203	6	0.0007031525
K00204	355	0.0416031876
K00205	146	0.0171100434
K00206	27	0.0031641861
K00207	0	0.0000000000
K00208	2138	0.2505566624
K00209	541	0.0634009141
K00211	0	0.0000000000
K00212	3	0.0003515762
K00213	5	0.0005859604
K00214	69	0.0080862534
K00215	7989	0.9362475097
K00216	968	0.1134419313
K00217	536	0.0628149537
K00218	477	0.0559006211
K00219	1757	0.2059064807
K00220	23	0.0026954178
K00221	528	0.0618774171
K00222	18	0.0021094574
K00223	0	0.0000000000
K00224	35	0.0041017227
K00225	0	0.0000000000
K00226	1512	0.1771944217
K00227	112	0.0131255127
K00228	182	0.0213289582
K00230	2221	0.2602836048
K00231	4831	0.5661549279
K00232	2188	0.2564162663
K00233	39	0.0045704910
K00234	26	0.0030469940
K00235	18	0.0021094574
K00236	11	0.0012891129
K00237	0	0.0000000000
K00239	4953	0.5804523614
K00240	4874	0.5711941873
K00241	4478	0.5247861245
K00242	2315	0.2712996601
K00243	4406	0.5163482949
K00244	115	0.0134770889
K00245	120	0.0140630493
K00246	81	0.0094925583
K00247	81	0.0094925583
K00248	3691	0.4325559592
K00249	2166	0.2538380405
K00251	1	0.0001171921
K00252	2879	0.3373959920
K00253	229	0.0268369858
K00254	3691	0.4325559592
K00255	2340	0.2742294621
K00257	424	0.0496894410
K00258	0	0.0000000000
K00259	5515	0.6463143092
K00260	2025	0.2373139576
K00261	774	0.0907066682
K00262	5123	0.6003750146
K00263	1604	0.1879760928
K00264	2337	0.2738778859
K00265	5481	0.6423297785
K00266	4338	0.5083792336
K00270	222	0.0260166413
K00271	967	0.1133247392
K00272	0	0.0000000000
K00273	855	0.1001992265
K00274	1922	0.2252431736
K00275	3524	0.4129848822
K00276	1120	0.1312551272
K00277	158	0.0185163483
K00278	4760	0.5578342904
K00279	480	0.0562521974
K00280	43	0.0050392593
K00281	2934	0.3438415563
K00282	2109	0.2471580921
K00283	2108	0.2470409000
K00284	163	0.0191023087
K00285	1062	0.1244579866
K00286	8080	0.9469119887
K00287	6627	0.7766318997
K00288	18	0.0021094574
K00289	4	0.0004687683
K00290	156	0.0182819641
K00293	83	0.0097269425
K00294	2257	0.2645025196
K00295	22	0.0025782257
K00296	0	0.0000000000
K00297	4425	0.5185749443
K00298	687	0.0805109575
K00299	3078	0.3607172155
K00300	7	0.0008203445
K00301	2011	0.2356732685
K00302	984	0.1153170046
K00303	588	0.0689089418
K00304	465	0.0544943162
K00305	520	0.0609398805
K00306	32	0.0037501465
K00307	87	0.0101957108
K00308	2	0.0002343842
K00309	731	0.0856674089
K00310	103	0.0120707840
K00311	25	0.0029298019
K00312	0	0.0000000000
K00313	494	0.0578928864
K00314	3	0.0003515762
K00315	229	0.0268369858
K00316	40	0.0046876831
K00317	145	0.0169928513
K00318	3043	0.3566154928
K00319	0	0.0000000000
K00320	3138	0.3677487402
K00322	795	0.0931677019
K00323	970	0.1136763155
K00324	1277	0.1496542834
K00325	2026	0.2374311497
K00326	15	0.0017578812
K00327	15	0.0017578812
K00330	2578	0.3021211766
K00331	2570	0.3011836400
K00332	2562	0.3002461034
K00333	2572	0.3014180241
K00334	2061	0.2415328724
K00335	2248	0.2634477909
K00336	3620	0.4242353217
K00337	2636	0.3089183171
K00338	2543	0.2980194539
K00339	2549	0.2987226064
K00340	2556	0.2995429509
K00341	2765	0.3240360952
K00342	2616	0.3065744756
K00343	2618	0.3068088597
K00344	5625	0.6592054377
K00345	138	0.0161725067
K00346	5	0.0005859604
K00347	39	0.0045704910
K00348	46	0.0053908356
K00349	40	0.0046876831
K00350	40	0.0046876831
K00351	690	0.0808625337
K00354	1770	0.2074299777
K00355	2829	0.3315363881
K00357	0	0.0000000000
K00359	2254	0.2641509434
K00360	1011	0.1184811907
K00361	15	0.0017578812
K00362	2305	0.2701277394
K00363	2001	0.2345013477
K00364	2819	0.3303644674
K00365	1363	0.1597328021
K00366	862	0.1010195711
K00367	1244	0.1457869448
K00368	897	0.1051212938
K00370	2162	0.2533692722
K00371	2147	0.2516113911
K00372	1775	0.2080159381
K00373	2183	0.2558303059
K00374	2332	0.2732919255
K00375	6392	0.7490917614
K00376	101	0.0118363999
K00378	7	0.0008203445
K00380	1544	0.1809445681
K00381	827	0.0969178484
K00382	7191	0.8427282316
K00383	2354	0.2758701512
K00384	8457	0.9910934021
K00385	1025	0.1201218798
K00386	28	0.0032813782
K00387	1057	0.1238720263
K00389	2257	0.2645025196
K00390	4060	0.4757998359
K00392	2583	0.3027071370
K00394	433	0.0507441697
K00395	829	0.0971522325
K00399	0	0.0000000000
K00400	2	0.0002343842
K00401	0	0.0000000000
K00402	0	0.0000000000
K00404	185	0.0216805344
K00405	39	0.0045704910
K00406	68	0.0079690613
K00407	13	0.0015234970
K00408	0	0.0000000000
K00410	18	0.0021094574
K00411	15	0.0017578812
K00412	16	0.0018750732
K00413	9	0.0010547287
K00414	29	0.0033985703
K00415	4	0.0004687683
K00416	0	0.0000000000
K00417	0	0.0000000000
K00418	0	0.0000000000
K00419	0	0.0000000000
K00420	0	0.0000000000
K00421	70	0.0082034454
K00422	52	0.0060939880
K00423	201	0.0235556076
K00424	13	0.0015234970
K00425	5183	0.6074065393
K00426	5180	0.6070549631
K00427	826	0.0968006563
K00428	191	0.0223836869
K00430	5	0.0005859604
K00431	1	0.0001171921
K00432	5408	0.6337747568
K00433	4591	0.5380288293
K00434	0	0.0000000000
K00435	3037	0.3559123403
K00436	120	0.0140630493
K00437	72	0.0084378296
K00440	15	0.0017578812
K00441	806	0.0944568147
K00442	8	0.0009375366
K00443	71	0.0083206375
K00444	16	0.0018750732
K00445	0	0.0000000000
K00446	1363	0.1597328021
K00448	1275	0.1494198992
K00449	1756	0.2057892886
K00450	856	0.1003164186
K00451	1963	0.2300480488
K00452	438	0.0513301301
K00453	1900	0.2226649478
K00454	0	0.0000000000
K00455	307	0.0359779679
K00456	1674	0.1961795383
K00457	1526	0.1788351107
K00458	0	0.0000000000
K00459	4652	0.5451775460
K00460	0	0.0000000000
K00461	14	0.0016406891
K00462	120	0.0140630493
K00463	41	0.0048048752
K00464	927	0.1086370561
K00465	37	0.0043361069
K00466	8	0.0009375366
K00467	1677	0.1965311145
K00468	807	0.0945740068
K00469	9	0.0010547287
K00471	353	0.0413688035
K00472	410	0.0480487519
K00473	7	0.0008203445
K00474	12	0.0014063049
K00475	0	0.0000000000
K00476	94	0.0110160553
K00477	1524	0.1786007266
K00478	0	0.0000000000
K00479	524	0.0614086488
K00480	551	0.0645728349
K00481	1152	0.1350052736
K00483	795	0.0931677019
K00484	104	0.0121879761
K00485	1151	0.1348880816
K00486	221	0.0258994492
K00487	0	0.0000000000
K00488	1	0.0001171921
K00489	0	0.0000000000
K00490	0	0.0000000000
K00491	1613	0.1890308215
K00492	7	0.0008203445
K00493	0	0.0000000000
K00494	667	0.0781671159
K00495	0	0.0000000000
K00496	1012	0.1185983827
K00497	0	0.0000000000
K00498	1	0.0001171921
K00499	1046	0.1225829134
K00500	505	0.0591819993
K00501	1	0.0001171921
K00502	0	0.0000000000
K00503	56	0.0065627564
K00504	2	0.0002343842
K00505	185	0.0216805344
K00506	0	0.0000000000
K00507	794	0.0930505098
K00508	31	0.0036329544
K00509	8	0.0009375366
K00510	7	0.0008203445
K00511	20	0.0023438416
K00512	0	0.0000000000
K00513	0	0.0000000000
K00514	151	0.0176960038
K00515	8	0.0009375366
K00516	106	0.0124223602
K00517	1	0.0001171921
K00518	1020	0.1195359194
K00520	1747	0.2047345599
K00521	617	0.0723075120
K00522	7	0.0008203445
K00523	1653	0.1937185046
K00524	117	0.0137114731
K00525	7500	0.8789405836
K00526	6989	0.8190554319
K00527	311	0.0364467362
K00528	1996	0.2339153873
K00529	2579	0.3022383687
K00530	0	0.0000000000
K00531	24	0.0028126099
K00532	193	0.0226180710
K00533	188	0.0220321106
K00534	20	0.0023438416
K00537	6085	0.7131137935
K00540	1972	0.2311027775
K00541	21	0.0024610336
K00542	42	0.0049220673
K00543	6	0.0007031525
K00544	121	0.0141802414
K00545	789	0.0924645494
K00546	13	0.0015234970
K00547	2326	0.2725887730
K00548	4260	0.4992382515
K00549	6126	0.7179186687
K00550	1	0.0001171921
K00551	0	0.0000000000
K00552	0	0.0000000000
K00553	44	0.0051564514
K00554	8499	0.9960154694
K00555	37	0.0043361069
K00556	2808	0.3290753545
K00557	9	0.0010547287
K00558	5021	0.5884214227
K00559	305	0.0357435837
K00560	6686	0.7835462323
K00561	1502	0.1760225009
K00562	35	0.0041017227
K00563	4084	0.4786124458
K00564	5397	0.6324856440
K00565	9	0.0010547287
K00566	8222	0.9635532638
K00567	6806	0.7976092816
K00568	3591	0.4208367514
K00569	21	0.0024610336
K00570	1988	0.2329778507
K00571	2259	0.2647369038
K00572	0	0.0000000000
K00573	1493	0.1749677722
K00574	3363	0.3941169577
K00575	2191	0.2567678425
K00577	32	0.0037501465
K00578	0	0.0000000000
K00579	0	0.0000000000
K00580	0	0.0000000000
K00581	0	0.0000000000
K00582	0	0.0000000000
K00583	6	0.0007031525
K00584	15	0.0017578812
K00586	0	0.0000000000
K00587	999	0.1170748857
K00588	6209	0.7276456112
K00589	1	0.0001171921
K00590	384	0.0450017579
K00591	83	0.0097269425
K00592	0	0.0000000000
K00594	1128	0.1321926638
K00595	2862	0.3354037267
K00596	287	0.0336341263
K00597	5	0.0005859604
K00598	3337	0.3910699637
K00599	0	0.0000000000
K00600	8114	0.9508965194
K00601	5	0.0005859604
K00602	8123	0.9519512481
K00603	539	0.0631665299
K00604	8457	0.9910934021
K00605	5018	0.5880698465
K00606	5004	0.5864291574
K00607	21	0.0024610336
K00608	0	0.0000000000
K00609	8229	0.9643736083
K00610	1060	0.1242236025
K00611	7407	0.8680417204
K00612	1102	0.1291456698
K00613	360	0.0421891480
K00614	10	0.0011719208
K00615	6566	0.7694831829
K00616	1077	0.1262158678
K00617	1917	0.2246572132
K00618	0	0.0000000000
K00619	4534	0.5313488808
K00620	6073	0.7117074886
K00621	84	0.0098441345
K00622	412	0.0482831361
K00623	0	0.0000000000
K00624	373	0.0437126450
K00625	111	0.0130083206
K00626	5860	0.6867455760
K00627	6655	0.7799132779
