KOs	KO_count	KO_frequency
K00001	141	0.0285309591
K00002	116	0.0234722784
K00003	4351	0.8804127883
K00004	1414	0.2861189802
K00005	1755	0.3551193849
K00006	0	0.0000000000
K00007	0	0.0000000000
K00008	1821	0.3684743019
K00009	1766	0.3573452044
K00010	1755	0.3551193849
K00011	46	0.0093079725
K00012	2215	0.4481991097
K00013	3003	0.6076487252
K00014	3904	0.7899635775
K00015	1434	0.2901659247
K00016	4293	0.8686766491
K00018	1193	0.2414002428
K00019	362	0.0732496965
K00020	2499	0.5056657224
K00021	10	0.0020234723
K00022	139	0.0281262647
K00023	217	0.0439093484
K00024	1509	0.3053419668
K00025	1	0.0002023472
K00026	0	0.0000000000
K00027	3097	0.6266693646
K00028	0	0.0000000000
K00029	5	0.0010117361
K00030	2516	0.5091056253
K00031	719	0.1454876568
K00032	2	0.0004046945
K00033	3459	0.6999190611
K00034	2651	0.5364225010
K00035	2	0.0004046945
K00036	3185	0.6444759207
K00037	0	0.0000000000
K00038	934	0.1889923108
K00039	7	0.0014164306
K00040	717	0.1450829624
K00041	892	0.1804937272
K00042	535	0.1082557669
K00043	7	0.0014164306
K00044	45	0.0091056253
K00045	2	0.0004046945
K00046	727	0.1471064346
K00048	707	0.1430594901
K00049	86	0.0174018616
K00051	0	0.0000000000
K00052	3635	0.7355321732
K00053	3651	0.7387697289
K00054	2323	0.4700526103
K00055	465	0.0940914609
K00057	4860	0.9834075273
K00058	3782	0.7652772157
K00059	4860	0.9834075273
K00060	505	0.1021853501
K00061	2	0.0004046945
K00062	0	0.0000000000
K00063	0	0.0000000000
K00064	222	0.0449210846
K00065	1545	0.3126264670
K00066	14	0.0028328612
K00067	2798	0.5661675435
K00068	755	0.1527721570
K00069	71	0.0143666532
K00070	5	0.0010117361
K00071	0	0.0000000000
K00072	0	0.0000000000
K00073	522	0.1056252529
K00074	2318	0.4690408741
K00075	4936	0.9987859166
K00076	284	0.0574666127
K00077	3336	0.6750303521
K00078	1497	0.3029138001
K00079	177	0.0358154593
K00081	0	0.0000000000
K00082	25	0.0050586807
K00083	1	0.0002023472
K00084	0	0.0000000000
K00085	0	0.0000000000
K00086	1386	0.2804532578
K00087	892	0.1804937272
K00088	4914	0.9943342776
K00089	0	0.0000000000
K00090	623	0.1260623229
K00091	718	0.1452853096
K00093	6	0.0012140834
K00094	203	0.0410764873
K00095	0	0.0000000000
K00096	697	0.1410360178
K00097	31	0.0062727641
K00098	39	0.0078915419
K00099	2748	0.5560501821
K00100	724	0.1464993930
K00101	732	0.1481181708
K00102	489	0.0989477944
K00103	1	0.0002023472
K00104	1144	0.2314852287
K00105	995	0.2013354917
K00106	0	0.0000000000
K00107	0	0.0000000000
K00108	458	0.0926750304
K00109	903	0.1827195467
K00111	1785	0.3611898017
K00112	64	0.0129502226
K00113	81	0.0163901255
K00114	30	0.0060704168
K00115	10	0.0020234723
K00116	1299	0.2628490490
K00117	0	0.0000000000
K00118	29	0.0058680696
K00119	1	0.0002023472
K00120	0	0.0000000000
K00121	365	0.0738567382
K00122	161	0.0325779037
K00123	1029	0.2082152975
K00124	75	0.0151760421
K00125	152	0.0307567786
K00126	1	0.0002023472
K00127	107	0.0216511534
K00128	34	0.0068798057
K00129	8	0.0016187778
K00130	1118	0.2262242007
K00131	1016	0.2055847835
K00132	816	0.1651153379
K00133	4719	0.9548765682
K00134	4937	0.9989882639
K00135	1790	0.3622015378
K00137	3	0.0006070417
K00138	1032	0.2088223391
K00139	0	0.0000000000
K00140	1089	0.2203561311
K00141	0	0.0000000000
K00142	66	0.0133549170
K00143	13	0.0026305140
K00145	2947	0.5963172805
K00146	47	0.0095103197
K00147	3777	0.7642654796
K00148	1053	0.2130716309
K00149	0	0.0000000000
K00150	29	0.0058680696
K00151	149	0.0301497369
K00152	0	0.0000000000
K00153	1	0.0002023472
K00154	61	0.0123431809
K00155	2	0.0004046945
K00156	163	0.0329825981
K00157	0	0.0000000000
K00158	2111	0.4271549980
K00161	5	0.0010117361
K00162	129	0.0261027924
K00163	1	0.0002023472
K00164	1326	0.2683124241
K00166	2336	0.4726831242
K00167	2334	0.4722784298
K00169	506	0.1023876973
K00170	269	0.0544314043
K00171	441	0.0892351275
K00172	535	0.1082557669
K00174	1703	0.3445973290
K00175	1383	0.2798462161
K00176	725	0.1467017402
K00177	589	0.1191825172
K00179	616	0.1246458924
K00180	612	0.1238365034
K00181	0	0.0000000000
K00182	0	0.0000000000
K00184	43	0.0087009308
K00185	56	0.0113314448
K00186	27	0.0054633752
K00187	530	0.1072440308
K00188	29	0.0058680696
K00189	11	0.0022258195
K00192	4	0.0008093889
K00193	62	0.0125455281
K00194	292	0.0590853905
K00195	0	0.0000000000
K00196	1116	0.2258195063
K00197	313	0.0633346823
K00198	612	0.1238365034
K00200	11	0.0022258195
K00201	8	0.0016187778
K00202	15	0.0030352084
K00203	6	0.0012140834
K00204	329	0.0665722380
K00205	121	0.0244840146
K00206	0	0.0000000000
K00207	0	0.0000000000
K00208	1960	0.3966005666
K00209	431	0.0872116552
K00211	0	0.0000000000
K00212	3	0.0006070417
K00213	0	0.0000000000
K00214	0	0.0000000000
K00215	4598	0.9303925536
K00216	317	0.0641440712
K00217	26	0.0052610279
K00218	11	0.0022258195
K00219	271	0.0548360987
K00220	5	0.0010117361
K00221	113	0.0228652367
K00222	1	0.0002023472
K00223	0	0.0000000000
K00224	11	0.0022258195
K00225	0	0.0000000000
K00226	1316	0.2662889518
K00227	13	0.0026305140
K00228	8	0.0016187778
K00230	1137	0.2300687981
