KOs	KO_count	KO_frequency
K00001	0	0.0000000000
K00002	0	0.0000000000
K00003	416	0.9952153110
K00004	3	0.0071770335
K00005	0	0.0000000000
K00006	0	0.0000000000
K00007	0	0.0000000000
K00008	12	0.0287081340
K00009	3	0.0071770335
K00010	11	0.0263157895
K00011	0	0.0000000000
K00012	230	0.5502392344
K00013	340	0.8133971292
K00014	414	0.9904306220
K00015	2	0.0047846890
K00016	35	0.0837320574
K00018	414	0.9904306220
K00019	22	0.0526315789
K00020	45	0.1076555024
K00021	0	0.0000000000
K00022	0	0.0000000000
K00023	0	0.0000000000
K00024	298	0.7129186603
K00025	0	0.0000000000
K00026	0	0.0000000000
K00027	317	0.7583732057
K00028	0	0.0000000000
K00029	0	0.0000000000
K00030	54	0.1291866029
K00031	295	0.7057416268
K00032	0	0.0000000000
K00033	0	0.0000000000
K00034	56	0.1339712919
K00035	0	0.0000000000
K00036	74	0.1770334928
K00037	0	0.0000000000
K00038	8	0.0191387560
K00039	0	0.0000000000
K00040	0	0.0000000000
K00041	1	0.0023923445
K00042	5	0.0119617225
K00043	0	0.0000000000
K00044	0	0.0000000000
K00045	0	0.0000000000
K00046	0	0.0000000000
K00048	0	0.0000000000
K00049	0	0.0000000000
K00051	0	0.0000000000
K00052	286	0.6842105263
K00053	398	0.9521531100
K00054	0	0.0000000000
K00055	0	0.0000000000
K00057	415	0.9928229665
K00058	392	0.9377990431
K00059	416	0.9952153110
K00060	0	0.0000000000
K00061	0	0.0000000000
K00062	0	0.0000000000
K00063	0	0.0000000000
K00064	0	0.0000000000
K00065	0	0.0000000000
K00066	0	0.0000000000
K00067	47	0.1124401914
K00068	1	0.0023923445
K00069	0	0.0000000000
K00070	0	0.0000000000
K00071	0	0.0000000000
K00072	0	0.0000000000
K00073	0	0.0000000000
K00074	7	0.0167464115
K00075	416	0.9952153110
K00076	411	0.9832535885
K00077	30	0.0717703349
K00078	8	0.0191387560
K00079	0	0.0000000000
K00081	0	0.0000000000
K00082	1	0.0023923445
K00083	0	0.0000000000
K00084	0	0.0000000000
K00085	0	0.0000000000
K00086	7	0.0167464115
K00087	1	0.0023923445
K00088	415	0.9928229665
K00089	0	0.0000000000
K00090	0	0.0000000000
K00091	9	0.0215311005
K00093	0	0.0000000000
K00094	1	0.0023923445
K00095	0	0.0000000000
K00096	1	0.0023923445
K00097	323	0.7727272727
K00098	0	0.0000000000
K00099	416	0.9952153110
K00100	0	0.0000000000
K00101	5	0.0119617225
K00102	0	0.0000000000
K00103	0	0.0000000000
K00104	357	0.8540669856
K00105	0	0.0000000000
K00106	0	0.0000000000
K00107	0	0.0000000000
K00108	0	0.0000000000
K00109	0	0.0000000000
K00111	16	0.0382775120
K00112	0	0.0000000000
K00113	0	0.0000000000
K00114	2	0.0047846890
K00115	0	0.0000000000
K00116	376	0.8995215311
K00117	0	0.0000000000
K00118	0	0.0000000000
K00119	0	0.0000000000
K00120	0	0.0000000000
K00121	1	0.0023923445
K00122	0	0.0000000000
K00123	324	0.7751196172
K00124	333	0.7966507177
K00125	0	0.0000000000
K00126	0	0.0000000000
K00127	290	0.6937799043
K00128	0	0.0000000000
K00129	0	0.0000000000
K00130	0	0.0000000000
K00131	0	0.0000000000
K00132	0	0.0000000000
K00133	416	0.9952153110
K00134	416	0.9952153110
K00135	48	0.1148325359
K00137	0	0.0000000000
K00138	148	0.3540669856
K00139	0	0.0000000000
K00140	1	0.0023923445
K00141	0	0.0000000000
K00142	7	0.0167464115
K00143	0	0.0000000000
K00145	241	0.5765550239
K00146	0	0.0000000000
K00147	229	0.5478468900
K00148	0	0.0000000000
K00149	0	0.0000000000
K00150	0	0.0000000000
K00151	2	0.0047846890
K00152	0	0.0000000000
K00153	0	0.0000000000
K00154	0	0.0000000000
K00155	0	0.0000000000
K00156	4	0.0095693780
K00157	0	0.0000000000
K00158	0	0.0000000000
K00161	8	0.0191387560
K00162	8	0.0191387560
K00163	32	0.0765550239
K00164	0	0.0000000000
K00166	0	0.0000000000
K00167	1	0.0023923445
K00169	143	0.3421052632
K00170	104	0.2488038278
K00171	143	0.3421052632
K00172	142	0.3397129187
K00174	415	0.9928229665
K00175	415	0.9928229665
K00176	413	0.9880382775
K00177	413	0.9880382775
K00179	13	0.0311004785
K00180	11	0.0263157895
K00181	0	0.0000000000
K00182	0	0.0000000000
K00184	0	0.0000000000
K00185	10	0.0239234450
K00186	0	0.0000000000
K00187	0	0.0000000000
K00188	1	0.0023923445
K00189	3	0.0071770335
K00192	0	0.0000000000
K00193	0	0.0000000000
K00194	0	0.0000000000
K00195	0	0.0000000000
K00196	262	0.6267942584
K00197	0	0.0000000000
K00198	16	0.0382775120
K00200	0	0.0000000000
K00201	0	0.0000000000
K00202	0	0.0000000000
K00203	0	0.0000000000
K00204	4	0.0095693780
K00205	9	0.0215311005
K00206	0	0.0000000000
K00207	0	0.0000000000
K00208	325	0.7775119617
K00209	0	0.0000000000
K00211	0	0.0000000000
K00212	0	0.0000000000
K00213	0	0.0000000000
K00214	0	0.0000000000
K00215	416	0.9952153110
K00216	0	0.0000000000
K00217	2	0.0047846890
K00218	0	0.0000000000
K00219	4	0.0095693780
K00220	2	0.0047846890
K00221	0	0.0000000000
K00222	0	0.0000000000
K00223	0	0.0000000000
K00224	0	0.0000000000
K00225	0	0.0000000000
K00226	3	0.0071770335
K00227	16	0.0382775120
K00228	3	0.0071770335
K00230	25	0.0598086124
K00231	31	0.0741626794
K00232	0	0.0000000000
K00233	404	0.9665071770
K00234	3	0.0071770335
K00235	0	0.0000000000
K00236	0	0.0000000000
K00237	0	0.0000000000
K00239	86	0.2057416268
K00240	136	0.3253588517
K00241	2	0.0047846890
K00242	3	0.0071770335
K00243	118	0.2822966507
K00244	2	0.0047846890
K00245	3	0.0071770335
K00246	0	0.0000000000
