KOs	KO_count	KO_frequency
K00001	3637	0.1699453297
K00002	698	0.0326152984
K00003	16056	0.7502453156
K00004	5740	0.2682117658
K00005	4210	0.1967197794
K00006	0	0.0000000000
K00007	1080	0.0504649315
K00008	6483	0.3029297696
K00009	4430	0.2069996729
K00010	10746	0.5021260689
K00011	182	0.0085042755
K00012	16343	0.7636559039
K00013	18016	0.8418298210
K00014	19549	0.9134619878
K00015	5503	0.2571375169
K00016	7276	0.3399841129
K00018	6785	0.3170412598
K00019	5005	0.2338675763
K00020	12127	0.5666557637
K00021	941	0.0439699079
K00022	354	0.0165412831
K00023	5156	0.2409233213
K00024	6746	0.3152189150
K00025	5451	0.2547077239
K00026	2363	0.1104154011
K00027	17041	0.7962712023
K00028	0	0.0000000000
K00029	3703	0.1730292977
K00030	9519	0.4447922994
K00031	12668	0.5919349563
K00032	1772	0.0827998692
K00033	14623	0.6832858278
K00034	14031	0.6556235690
K00035	1888	0.0882201766
K00036	15832	0.7397785150
K00037	0	0.0000000000
K00038	6551	0.3061071913
K00039	1188	0.0555114247
K00040	6488	0.3031634036
K00041	3704	0.1730760245
K00042	8370	0.3911032195
K00043	2638	0.1232652680
K00044	88	0.0041119574
K00045	3394	0.1585907201
K00046	5429	0.2536797346
K00048	1995	0.0932199430
K00049	150	0.0070090183
K00051	15	0.0007009018
K00052	18000	0.8410821924
K00053	18856	0.8810803233
K00054	4244	0.1983084903
K00055	2525	0.1179851409
K00057	20989	0.9807485632
K00058	19119	0.8933694687
K00059	20810	0.9723844680
K00060	6004	0.2805476380
K00061	78	0.0036446895
K00062	0	0.0000000000
K00063	0	0.0000000000
K00064	4665	0.2179804682
K00065	7931	0.3705901593
K00066	1733	0.0809775244
K00067	14663	0.6851548993
K00068	1915	0.0894817999
K00069	144	0.0067286575
K00070	12	0.0005607215
K00071	5	0.0002336339
K00072	1	0.0000467268
K00073	1658	0.0774730153
K00074	11954	0.5585720293
K00075	21121	0.9869164992
K00076	3901	0.1822812018
K00077	13661	0.6383346573
K00078	4718	0.2204569880
K00079	708	0.0330825662
K00081	0	0.0000000000
K00082	36	0.0016821644
K00083	15	0.0007009018
K00084	5	0.0002336339
K00085	0	0.0000000000
K00086	3354	0.1567216485
K00087	4344	0.2029811691
K00088	21135	0.9875706743
K00089	0	0.0000000000
K00090	3507	0.1638708472
K00091	7380	0.3448436989
K00093	21	0.0009812626
K00094	587	0.0274286248
K00095	2	0.0000934536
K00096	1891	0.0883603570
K00097	11260	0.5261436381
K00098	2650	0.1238259894
K00099	17409	0.8134666604
K00100	934	0.0436428204
K00101	8536	0.3988598664
K00102	4088	0.1910191113
K00103	801	0.0374281576
K00104	10435	0.4875940377
K00105	1009	0.0471473296
K00106	65	0.0030372413
K00107	3	0.0001401804
K00108	9386	0.4385776366
K00109	3914	0.1828886501
K00111	10627	0.4965655810
K00112	1999	0.0934068501
K00113	3525	0.1647119293
K00114	2022	0.0944815663
K00115	186	0.0086911827
K00116	8588	0.4012896594
K00117	861	0.0402317649
K00118	2086	0.0974720807
K00119	1058	0.0494369422
K00120	238	0.0111209757
K00121	10030	0.4686696883
K00122	1004	0.0469136956
K00123	10307	0.4816130087
K00124	3942	0.1841970001
K00125	376	0.0175692725
K00126	2923	0.1365824027
K00127	4713	0.2202233540
K00128	1062	0.0496238494
K00129	1352	0.0631746180
K00130	10557	0.4932947059
K00131	3139	0.1466753890
K00132	1430	0.0668193075
K00133	20835	0.9735526377
K00134	21187	0.9900004673
K00135	13637	0.6372132143
K00137	2965	0.1385449278
K00138	10876	0.5082005514
K00139	43	0.0020092519
K00140	11151	0.5210504182
K00141	1645	0.0768655670
K00142	513	0.0239708425
K00143	32	0.0014952572
K00145	17289	0.8078594458
K00146	4240	0.1981215831
K00147	18488	0.8638848652
K00148	7855	0.3670389234
K00149	554	0.0258866408
K00150	367	0.0171487314
K00151	3372	0.1575627307
K00152	122	0.0057006682
K00153	2656	0.1241063502
K00154	5532	0.2584925938
K00155	71	0.0033176020
K00156	7643	0.3571328443
K00157	1	0.0000467268
K00158	2357	0.1101350404
K00161	4654	0.2174664735
K00162	4765	0.2226531470
K00163	10984	0.5132470445
K00164	11976	0.5596000187
K00166	9210	0.4303537218
K00167	9229	0.4312415308
K00169	1046	0.0488762207
K00170	747	0.0349049110
K00171	1314	0.0613990000
K00172	1113	0.0520069156
K00174	5909	0.2761085931
K00175	5378	0.2512966684
K00176	2775	0.1296668380
K00177	2015	0.0941544788
K00179	2515	0.1175178730
K00180	2468	0.1153217139
K00181	0	0.0000000000
K00182	0	0.0000000000
K00184	288	0.0134573151
K00185	2187	0.1021914864
K00186	67	0.0031306948
K00187	1460	0.0682211112
K00188	145	0.0067753843
K00189	22	0.0010279893
K00192	92	0.0042988645
K00193	85	0.0039717770
K00194	348	0.0162609224
K00195	0	0.0000000000
K00196	2713	0.1267697771
K00197	420	0.0196252512
K00198	821	0.0383626933
K00200	497	0.0232232139
K00201	467	0.0218214102
K00202	481	0.0224755853
K00203	13	0.0006074483
K00204	625	0.0292042428
K00205	281	0.0131302276
K00206	834	0.0389701416
K00207	0	0.0000000000
K00208	11045	0.5160973786
K00209	4151	0.1939628989
K00211	105	0.0049063128
K00212	3	0.0001401804
K00213	106	0.0049530396
K00214	93	0.0043455913
K00215	20518	0.9587402458
K00216	3036	0.1418625298
K00217	2068	0.0966309986
K00218	678	0.0316807626
K00219	7806	0.3647493108
K00220	2435	0.1137797299
K00221	799	0.0373347040
K00222	55	0.0025699734
K00223	6	0.0002803607
K00224	41	0.0019157983
K00225	0	0.0000000000
K00226	2411	0.1126582870
K00227	1981	0.0925657680
K00228	9698	0.4531563946
K00230	5427	0.2535862810
K00231	7566	0.3535348815
K00232	2709	0.1265828700
K00233	692	0.0323349376
K00234	8737	0.4082519508
K00235	8665	0.4048876221
K00236	2646	0.1236390823
K00237	0	0.0000000000
K00239	7982	0.3729732256
K00240	7804	0.3646558572
K00241	13041	0.6093640484
K00242	11206	0.5236203916
K00243	8680	0.4055885239
K00244	2476	0.1156955282
K00245	2488	0.1162562497
K00246	2422	0.1131722817
K00247	2368	0.1106490351
K00248	9449	0.4415214242
K00249	6588	0.3078360824
K00251	1	0.0000467268
K00252	9634	0.4501658801
K00253	6393	0.2987243587
K00254	14818	0.6923975515
K00255	5550	0.2593336760
K00257	467	0.0218214102
K00258	9	0.0004205411
K00259	11355	0.5305826831
K00260	5244	0.2450352787
K00261	2249	0.1050885473
K00262	11738	0.5484790430
K00263	5164	0.2412971356
K00264	4137	0.1933087239
K00265	15869	0.7415074062
K00266	13950	0.6518386991
K00270	271	0.0126629597
K00271	1075	0.0502312976
K00272	5	0.0002336339
K00273	1380	0.0644829681
K00274	6563	0.3066679127
K00275	14215	0.6642212981
K00276	2221	0.1037801972
K00277	180	0.0084108219
K00278	14454	0.6753890005
K00279	759	0.0354656324
K00280	67	0.0031306948
K00281	11977	0.5596467455
K00282	3775	0.1763936265
K00283	3769	0.1761132657
K00284	267	0.0124760525
K00285	8685	0.4058221578
K00286	20257	0.9465445540
K00287	17630	0.8237932807
K00288	36	0.0016821644
K00289	53	0.0024765198
K00290	907	0.0423811971
K00293	185	0.0086444559
K00294	3810	0.1780290641
K00295	27	0.0012616233
K00296	22	0.0010279893
K00297	15844	0.7403392365
K00298	838	0.0391570487
K00299	7776	0.3633475071
K00300	175	0.0081771880
K00301	4254	0.1987757581
K00302	4752	0.2220456988
K00303	3851	0.1799448624
K00304	3655	0.1707864118
K00305	3706	0.1731694781
K00306	85	0.0039717770
K00307	113	0.0052801271
K00308	3	0.0001401804
K00309	1351	0.0631278912
K00310	2571	0.1201345732
K00311	7116	0.3325078267
K00312	0	0.0000000000
K00313	1631	0.0762113920
K00314	48	0.0022428858
K00315	1362	0.0636418859
K00316	977	0.0456520723
K00317	622	0.0290640624
K00318	4807	0.2246156722
K00319	0	0.0000000000
K00320	6404	0.2992383533
K00322	5639	0.2634923602
K00323	5498	0.2569038830
K00324	6840	0.3196112331
K00325	10912	0.5098827158
K00326	38	0.0017756180
K00327	27	0.0012616233
K00330	12421	0.5803934396
K00331	8531	0.3986262324
K00332	6594	0.3081164432
K00333	6818	0.3185832438
K00334	10081	0.4710527545
K00335	10723	0.5010513527
K00336	12368	0.5779169198
K00337	12869	0.6013270408
K00338	8383	0.3917106677
K00339	12619	0.5896453437
K00340	12415	0.5801130788
K00341	13047	0.6096444091
K00342	12870	0.6013737676
K00343	12820	0.5990374282
K00344	15645	0.7310406056
K00345	168	0.0078501005
K00346	3927	0.1834960983
K00347	3995	0.1866735199
