KOs	KO_count	KO_frequency
K00001	37	0.0228677379
K00002	95	0.0587144623
K00003	389	0.2404202719
K00004	115	0.0710754017
K00005	3	0.0018541409
K00006	0	0.0000000000
K00007	0	0.0000000000
K00008	218	0.1347342398
K00009	15	0.0092707046
K00010	762	0.4709517923
K00011	94	0.0580964153
K00012	1613	0.9969097651
K00013	1348	0.8331273177
K00014	1549	0.9573547590
K00015	447	0.2762669963
K00016	19	0.0117428925
K00018	572	0.3535228677
K00019	210	0.1297898640
K00020	365	0.2255871446
K00021	71	0.0438813350
K00022	125	0.0772558714
K00023	57	0.0352286774
K00024	1562	0.9653893696
K00025	0	0.0000000000
K00026	3	0.0018541409
K00027	1564	0.9666254635
K00028	0	0.0000000000
K00029	11	0.0067985167
K00030	511	0.3158220025
K00031	1129	0.6977750309
K00032	2	0.0012360939
K00033	879	0.5432632880
K00034	1080	0.6674907293
K00035	2	0.0012360939
K00036	785	0.4851668727
K00037	0	0.0000000000
K00038	395	0.2441285538
K00039	2	0.0012360939
K00040	44	0.0271940667
K00041	816	0.5043263288
K00042	68	0.0420271941
K00043	78	0.0482076638
K00044	14	0.0086526576
K00045	198	0.1223733004
K00046	661	0.4085290482
K00048	206	0.1273176761
K00049	12	0.0074165637
K00051	0	0.0000000000
K00052	1243	0.7682323857
K00053	1281	0.7917181706
K00054	742	0.4585908529
K00055	25	0.0154511743
K00057	1614	0.9975278121
K00058	1610	0.9950556242
K00059	1615	0.9981458591
K00060	36	0.0222496910
K00061	1	0.0006180470
K00062	0	0.0000000000
K00063	0	0.0000000000
K00064	285	0.1761433869
K00065	514	0.3176761434
K00066	35	0.0216316440
K00067	1609	0.9944375773
K00068	22	0.0135970334
K00069	10	0.0061804697
K00070	1	0.0006180470
K00071	0	0.0000000000
K00072	0	0.0000000000
K00073	2	0.0012360939
K00074	1036	0.6402966625
K00075	1610	0.9950556242
K00076	304	0.1878862794
K00077	737	0.4555006180
K00078	423	0.2614338690
K00079	81	0.0500618047
K00081	0	0.0000000000
K00082	5	0.0030902349
K00083	2	0.0012360939
K00084	0	0.0000000000
K00085	0	0.0000000000
K00086	44	0.0271940667
K00087	8	0.0049443758
K00088	1613	0.9969097651
K00089	0	0.0000000000
K00090	4	0.0024721879
K00091	1151	0.7113720643
K00093	0	0.0000000000
K00094	2	0.0012360939
K00095	0	0.0000000000
K00096	82	0.0506798517
K00097	1581	0.9771322621
K00098	5	0.0030902349
K00099	888	0.5488257108
K00100	31	0.0191594561
K00101	28	0.0173053152
K00102	12	0.0074165637
K00103	78	0.0482076638
K00104	250	0.1545117429
K00105	1	0.0006180470
K00106	15	0.0092707046
K00107	1	0.0006180470
K00108	121	0.0747836836
K00109	2	0.0012360939
K00111	878	0.5426452410
K00112	119	0.0735475896
K00113	141	0.0871446230
K00114	34	0.0210135970
K00115	1	0.0006180470
K00116	701	0.4332509271
K00117	190	0.1174289246
K00118	822	0.5080346106
K00119	0	0.0000000000
K00120	0	0.0000000000
K00121	85	0.0525339926
K00122	2	0.0012360939
K00123	300	0.1854140915
K00124	141	0.0871446230
K00125	31	0.0191594561
K00126	2	0.0012360939
K00127	21	0.0129789864
K00128	37	0.0228677379
K00129	1	0.0006180470
K00130	195	0.1205191595
K00131	653	0.4035846724
K00132	0	0.0000000000
K00133	1613	0.9969097651
K00134	1615	0.9981458591
K00135	299	0.1847960445
