KOs	KO_count	KO_frequency
K00001	0	0.0000000000
K00002	0	0.0000000000
K00003	0	0.0000000000
K00004	0	0.0000000000
K00005	0	0.0000000000
K00006	0	0.0000000000
K00007	0	0.0000000000
K00008	0	0.0000000000
K00009	47	0.3916666667
K00010	8	0.0666666667
K00011	1	0.0083333333
K00012	1	0.0083333333
K00013	0	0.0000000000
K00014	5	0.0416666667
K00015	0	0.0000000000
K00016	104	0.8666666667
K00018	0	0.0000000000
K00019	1	0.0083333333
K00020	3	0.0250000000
K00021	0	0.0000000000
K00022	0	0.0000000000
K00023	0	0.0000000000
K00024	15	0.1250000000
K00025	0	0.0000000000
K00026	0	0.0000000000
K00027	1	0.0083333333
K00028	0	0.0000000000
K00029	0	0.0000000000
K00030	0	0.0000000000
K00031	0	0.0000000000
K00032	0	0.0000000000
K00033	16	0.1333333333
K00034	1	0.0083333333
K00035	0	0.0000000000
K00036	5	0.0416666667
K00037	0	0.0000000000
K00038	1	0.0083333333
K00039	0	0.0000000000
K00040	0	0.0000000000
K00041	1	0.0083333333
K00042	1	0.0083333333
K00043	0	0.0000000000
K00044	0	0.0000000000
K00045	0	0.0000000000
K00046	0	0.0000000000
K00048	0	0.0000000000
K00049	0	0.0000000000
K00051	0	0.0000000000
K00052	0	0.0000000000
K00053	0	0.0000000000
K00054	3	0.0250000000
K00055	0	0.0000000000
K00057	89	0.7416666667
K00058	0	0.0000000000
K00059	9	0.0750000000
K00060	1	0.0083333333
K00061	0	0.0000000000
K00062	0	0.0000000000
K00063	0	0.0000000000
K00064	0	0.0000000000
K00065	2	0.0166666667
K00066	0	0.0000000000
K00067	1	0.0083333333
K00068	13	0.1083333333
K00069	0	0.0000000000
K00070	0	0.0000000000
K00071	0	0.0000000000
K00072	0	0.0000000000
K00073	0	0.0000000000
K00074	0	0.0000000000
K00075	0	0.0000000000
K00076	0	0.0000000000
K00077	0	0.0000000000
K00078	1	0.0083333333
K00079	0	0.0000000000
K00081	0	0.0000000000
K00082	0	0.0000000000
K00083	0	0.0000000000
K00084	0	0.0000000000
K00085	0	0.0000000000
K00086	0	0.0000000000
K00087	0	0.0000000000
K00088	26	0.2166666667
K00089	0	0.0000000000
K00090	1	0.0083333333
K00091	1	0.0083333333
K00093	0	0.0000000000
K00094	0	0.0000000000
K00095	0	0.0000000000
K00096	0	0.0000000000
K00097	0	0.0000000000
K00098	0	0.0000000000
K00099	19	0.1583333333
K00100	0	0.0000000000
K00101	3	0.0250000000
K00102	0	0.0000000000
K00103	0	0.0000000000
K00104	0	0.0000000000
K00105	0	0.0000000000
K00106	0	0.0000000000
K00107	0	0.0000000000
K00108	0	0.0000000000
K00109	69	0.5750000000
K00111	4	0.0333333333
K00112	0	0.0000000000
K00113	0	0.0000000000
K00114	0	0.0000000000
K00115	0	0.0000000000
K00116	0	0.0000000000
K00117	0	0.0000000000
K00118	0	0.0000000000
K00119	0	0.0000000000
K00120	0	0.0000000000
K00121	0	0.0000000000
K00122	0	0.0000000000
K00123	0	0.0000000000
K00124	0	0.0000000000
K00125	0	0.0000000000
K00126	0	0.0000000000
K00127	0	0.0000000000
K00128	0	0.0000000000
K00129	5	0.0416666667
K00130	0	0.0000000000
K00131	46	0.3833333333
K00132	0	0.0000000000
K00133	3	0.0250000000
K00134	120	1.0000000000
K00135	2	0.0166666667
K00137	0	0.0000000000
K00138	0	0.0000000000
K00139	0	0.0000000000
K00140	10	0.0833333333
K00141	0	0.0000000000
K00142	4	0.0333333333
K00143	0	0.0000000000
K00145	0	0.0000000000
K00146	0	0.0000000000
K00147	0	0.0000000000
K00148	0	0.0000000000
K00149	0	0.0000000000
K00150	0	0.0000000000
K00151	0	0.0000000000
K00152	0	0.0000000000
K00153	0	0.0000000000
K00154	3	0.0250000000
K00155	0	0.0000000000
K00156	0	0.0000000000
K00157	0	0.0000000000
K00158	0	0.0000000000
K00161	46	0.3833333333
K00162	0	0.0000000000
K00163	0	0.0000000000
K00164	0	0.0000000000
K00166	95	0.7916666667
K00167	105	0.8750000000
K00169	0	0.0000000000
K00170	0	0.0000000000
K00171	0	0.0000000000
K00172	0	0.0000000000
K00174	1	0.0083333333
K00175	0	0.0000000000
K00176	1	0.0083333333
K00177	1	0.0083333333
K00179	0	0.0000000000
K00180	0	0.0000000000
K00181	0	0.0000000000
K00182	0	0.0000000000
K00184	0	0.0000000000
K00185	0	0.0000000000
K00186	0	0.0000000000
K00187	1	0.0083333333
K00188	0	0.0000000000
K00189	0	0.0000000000
K00192	0	0.0000000000
K00193	0	0.0000000000
K00194	0	0.0000000000
K00195	0	0.0000000000
K00196	0	0.0000000000
K00197	0	0.0000000000
K00198	0	0.0000000000
K00200	0	0.0000000000
K00201	0	0.0000000000
K00202	0	0.0000000000
K00203	0	0.0000000000
K00204	0	0.0000000000
K00205	0	0.0000000000
K00206	0	0.0000000000
K00207	0	0.0000000000
K00208	0	0.0000000000
K00209	2	0.0166666667
K00211	0	0.0000000000
K00212	0	0.0000000000
K00213	0	0.0000000000
K00214	0	0.0000000000
K00215	3	0.0250000000
K00216	0	0.0000000000
K00217	0	0.0000000000
K00218	0	0.0000000000
K00219	5	0.0416666667
K00220	0	0.0000000000
K00221	0	0.0000000000
K00222	0	0.0000000000
K00223	0	0.0000000000
K00224	0	0.0000000000
K00225	0	0.0000000000
K00226	0	0.0000000000
K00227	0	0.0000000000
K00228	0	0.0000000000
K00230	1	0.0083333333
K00231	0	0.0000000000
K00232	0	0.0000000000
K00233	0	0.0000000000
K00234	0	0.0000000000
K00235	0	0.0000000000
K00236	0	0.0000000000
K00237	0	0.0000000000
K00239	0	0.0000000000
K00240	0	0.0000000000
K00241	0	0.0000000000
K00242	0	0.0000000000
K00243	5	0.0416666667
K00244	0	0.0000000000
K00245	0	0.0000000000
K00246	0	0.0000000000
