KOs	KO_count	KO_frequency
K00001	1	0.0500000000
K00002	0	0.0000000000
K00003	7	0.3500000000
K00004	0	0.0000000000
K00005	0	0.0000000000
K00006	0	0.0000000000
K00007	0	0.0000000000
K00008	3	0.1500000000
K00009	0	0.0000000000
K00010	12	0.6000000000
K00011	0	0.0000000000
K00012	20	1.0000000000
K00013	20	1.0000000000
K00014	13	0.6500000000
K00015	2	0.1000000000
K00016	5	0.2500000000
K00018	1	0.0500000000
K00019	8	0.4000000000
K00020	17	0.8500000000
K00021	1	0.0500000000
K00022	0	0.0000000000
K00023	3	0.1500000000
K00024	20	1.0000000000
K00025	0	0.0000000000
K00026	0	0.0000000000
K00027	5	0.2500000000
K00028	0	0.0000000000
K00029	1	0.0500000000
K00030	20	1.0000000000
K00031	2	0.1000000000
K00032	0	0.0000000000
K00033	20	1.0000000000
K00034	20	1.0000000000
K00035	0	0.0000000000
K00036	20	1.0000000000
K00037	0	0.0000000000
K00038	4	0.2000000000
K00039	0	0.0000000000
K00040	0	0.0000000000
K00041	1	0.0500000000
K00042	1	0.0500000000
K00043	17	0.8500000000
K00044	1	0.0500000000
K00045	2	0.1000000000
K00046	0	0.0000000000
K00048	0	0.0000000000
K00049	0	0.0000000000
K00051	0	0.0000000000
K00052	7	0.3500000000
K00053	4	0.2000000000
K00054	20	1.0000000000
K00055	4	0.2000000000
K00057	20	1.0000000000
K00058	20	1.0000000000
K00059	20	1.0000000000
K00060	2	0.1000000000
K00061	1	0.0500000000
K00062	0	0.0000000000
K00063	0	0.0000000000
K00064	10	0.5000000000
K00065	2	0.1000000000
K00066	0	0.0000000000
K00067	18	0.9000000000
K00068	0	0.0000000000
K00069	0	0.0000000000
K00070	0	0.0000000000
K00071	0	0.0000000000
K00072	0	0.0000000000
K00073	0	0.0000000000
K00074	20	1.0000000000
K00075	20	1.0000000000
K00076	7	0.3500000000
K00077	20	1.0000000000
K00078	2	0.1000000000
K00079	5	0.2500000000
K00081	0	0.0000000000
K00082	0	0.0000000000
K00083	0	0.0000000000
K00084	1	0.0500000000
K00085	0	0.0000000000
K00086	16	0.8000000000
K00087	5	0.2500000000
K00088	20	1.0000000000
K00089	0	0.0000000000
K00090	0	0.0000000000
K00091	20	1.0000000000
K00093	0	0.0000000000
K00094	0	0.0000000000
K00095	0	0.0000000000
K00096	2	0.1000000000
K00097	17	0.8500000000
K00098	0	0.0000000000
K00099	0	0.0000000000
K00100	0	0.0000000000
K00101	2	0.1000000000
K00102	0	0.0000000000
K00103	3	0.1500000000
K00104	20	1.0000000000
K00105	0	0.0000000000
K00106	0	0.0000000000
K00107	0	0.0000000000
K00108	6	0.3000000000
K00109	3	0.1500000000
K00111	20	1.0000000000
K00112	1	0.0500000000
K00113	5	0.2500000000
K00114	0	0.0000000000
K00115	2	0.1000000000
K00116	0	0.0000000000
K00117	0	0.0000000000
K00118	20	1.0000000000
K00119	0	0.0000000000
K00120	0	0.0000000000
K00121	20	1.0000000000
K00122	0	0.0000000000
K00123	20	1.0000000000
K00124	3	0.1500000000
K00125	0	0.0000000000
K00126	1	0.0500000000
K00127	0	0.0000000000
K00128	1	0.0500000000
K00129	0	0.0000000000
K00130	6	0.3000000000
K00131	4	0.2000000000
K00132	0	0.0000000000
K00133	20	1.0000000000
K00134	20	1.0000000000
K00135	18	0.9000000000
K00137	2	0.1000000000
K00138	18	0.9000000000
K00139	0	0.0000000000
K00140	20	1.0000000000
K00141	0	0.0000000000
K00142	1	0.0500000000
K00143	0	0.0000000000
K00145	3	0.1500000000
K00146	2	0.1000000000
K00147	8	0.4000000000
K00148	20	1.0000000000
K00149	0	0.0000000000
K00150	0	0.0000000000
K00151	0	0.0000000000
K00152	0	0.0000000000
K00153	0	0.0000000000
K00154	17	0.8500000000
K00155	5	0.2500000000
K00156	15	0.7500000000
K00157	0	0.0000000000
K00158	0	0.0000000000
K00161	20	1.0000000000
K00162	20	1.0000000000
K00163	0	0.0000000000
K00164	20	1.0000000000
K00166	6	0.3000000000
K00167	10	0.5000000000
K00169	0	0.0000000000
K00170	0	0.0000000000
K00171	0	0.0000000000
K00172	0	0.0000000000
K00174	3	0.1500000000
K00175	3	0.1500000000
K00176	2	0.1000000000
K00177	0	0.0000000000
K00179	0	0.0000000000
K00180	0	0.0000000000
K00181	0	0.0000000000
K00182	0	0.0000000000
K00184	2	0.1000000000
K00185	20	1.0000000000
K00186	0	0.0000000000
K00187	0	0.0000000000
K00188	0	0.0000000000
K00189	0	0.0000000000
K00192	0	0.0000000000
K00193	0	0.0000000000
K00194	0	0.0000000000
K00195	0	0.0000000000
K00196	1	0.0500000000
K00197	0	0.0000000000
K00198	0	0.0000000000
K00200	0	0.0000000000
K00201	0	0.0000000000
K00202	0	0.0000000000
K00203	0	0.0000000000
K00204	0	0.0000000000
K00205	0	0.0000000000
K00206	0	0.0000000000
K00207	0	0.0000000000
K00208	0	0.0000000000
K00209	5	0.2500000000
K00211	0	0.0000000000
K00212	0	0.0000000000
K00213	0	0.0000000000
K00214	0	0.0000000000
K00215	20	1.0000000000
K00216	17	0.8500000000
K00217	0	0.0000000000
K00218	2	0.1000000000
K00219	3	0.1500000000
K00220	0	0.0000000000
K00221	0	0.0000000000
K00222	3	0.1500000000
K00223	0	0.0000000000
K00224	0	0.0000000000
K00225	0	0.0000000000
K00226	0	0.0000000000
K00227	8	0.4000000000
K00228	18	0.9000000000
K00230	1	0.0500000000
K00231	20	1.0000000000
K00232	15	0.7500000000
K00233	0	0.0000000000
K00234	0	0.0000000000
K00235	0	0.0000000000
K00236	0	0.0000000000
K00237	0	0.0000000000
K00239	20	1.0000000000
K00240	20	1.0000000000
K00241	17	0.8500000000
K00242	2	0.1000000000
K00243	2	0.1000000000
K00244	0	0.0000000000
K00245	0	0.0000000000
K00246	0	0.0000000000
K00247	0	0.0000000000
K00248	18	0.9000000000
K00249	19	0.9500000000
K00251	0	0.0000000000
K00252	9	0.4500000000
K00253	6	0.3000000000
K00254	17	0.8500000000
K00255	16	0.8000000000
K00257	0	0.0000000000
K00258	0	0.0000000000
K00259	18	0.9000000000
K00260	16	0.8000000000
K00261	19	0.9500000000
K00262	2	0.1000000000
K00263	17	0.8500000000
K00264	2	0.1000000000
K00265	17	0.8500000000
K00266	17	0.8500000000
K00270	0	0.0000000000
K00271	0	0.0000000000
K00272	0	0.0000000000
K00273	9	0.4500000000
K00274	20	1.0000000000
K00275	19	0.9500000000
K00276	2	0.1000000000
K00277	3	0.1500000000
K00278	20	1.0000000000
K00279	12	0.6000000000
K00280	15	0.7500000000
K00281	18	0.9000000000
K00282	2	0.1000000000
K00283	2	0.1000000000
K00284	0	0.0000000000
K00285	0	0.0000000000
K00286	8	0.4000000000
K00287	15	0.7500000000
K00288	0	0.0000000000
K00289	0	0.0000000000
K00290	0	0.0000000000
K00293	0	0.0000000000
K00294	20	1.0000000000
K00295	2	0.1000000000
K00296	0	0.0000000000
K00297	18	0.9000000000
K00298	0	0.0000000000
K00299	1	0.0500000000
K00300	0	0.0000000000
K00301	8	0.4000000000
K00302	18	0.9000000000
K00303	20	1.0000000000
K00304	0	0.0000000000
K00305	0	0.0000000000
K00306	0	0.0000000000
K00307	0	0.0000000000
K00308	0	0.0000000000
K00309	0	0.0000000000
K00310	4	0.2000000000
K00311	0	0.0000000000
K00312	0	0.0000000000
K00313	0	0.0000000000
K00314	0	0.0000000000
K00315	0	0.0000000000
K00316	2	0.1000000000
K00317	0	0.0000000000
K00318	15	0.7500000000
K00319	0	0.0000000000
K00320	12	0.6000000000
K00322	20	1.0000000000
K00323	4	0.2000000000
K00324	1	0.0500000000
K00325	4	0.2000000000
K00326	0	0.0000000000
K00327	0	0.0000000000
K00330	17	0.8500000000
K00331	17	0.8500000000
K00332	17	0.8500000000
K00333	17	0.8500000000
K00334	18	0.9000000000
K00335	20	1.0000000000
K00336	20	1.0000000000
K00337	17	0.8500000000
K00338	18	0.9000000000
K00339	17	0.8500000000
K00340	17	0.8500000000
K00341	20	1.0000000000
K00342	20	1.0000000000
K00343	17	0.8500000000
K00344	20	1.0000000000
K00345	0	0.0000000000
K00346	3	0.1500000000
K00347	3	0.1500000000
K00348	3	0.1500000000
K00349	3	0.1500000000
K00350	3	0.1500000000
K00351	3	0.1500000000
K00354	3	0.1500000000
K00355	6	0.3000000000
K00357	0	0.0000000000
K00359	5	0.2500000000
K00360	2	0.1000000000
K00361	0	0.0000000000
K00362	2	0.1000000000
K00363	2	0.1000000000
K00364	0	0.0000000000
K00365	2	0.1000000000
K00366	1	0.0500000000
K00367	3	0.1500000000
K00368	0	0.0000000000
K00370	0	0.0000000000
K00371	0	0.0000000000
K00372	0	0.0000000000
K00373	0	0.0000000000
K00374	13	0.6500000000
K00375	20	1.0000000000
K00376	0	0.0000000000
K00378	0	0.0000000000
K00380	15	0.7500000000
K00381	15	0.7500000000
K00382	20	1.0000000000
K00383	16	0.8000000000
K00384	20	1.0000000000
K00385	0	0.0000000000
K00386	1	0.0500000000
K00387	3	0.1500000000
K00389	5	0.2500000000
K00390	20	1.0000000000
K00392	4	0.2000000000
K00394	1	0.0500000000
K00395	0	0.0000000000
K00399	0	0.0000000000
K00400	0	0.0000000000
K00401	0	0.0000000000
K00402	0	0.0000000000
K00404	0	0.0000000000
K00405	0	0.0000000000
K00406	20	1.0000000000
K00407	13	0.6500000000
K00408	0	0.0000000000
K00410	0	0.0000000000
K00411	0	0.0000000000
K00412	5	0.2500000000
K00413	0	0.0000000000
K00414	0	0.0000000000
K00415	0	0.0000000000
K00416	0	0.0000000000
K00417	0	0.0000000000
K00418	0	0.0000000000
K00419	0	0.0000000000
K00420	0	0.0000000000
K00421	1	0.0500000000
K00422	0	0.0000000000
K00423	7	0.3500000000
K00424	0	0.0000000000
K00425	18	0.9000000000
K00426	18	0.9000000000
K00427	0	0.0000000000
K00428	20	1.0000000000
K00430	0	0.0000000000
K00431	0	0.0000000000
K00432	19	0.9500000000
K00433	19	0.9500000000
K00434	0	0.0000000000
K00435	0	0.0000000000
K00436	0	0.0000000000
K00437	0	0.0000000000
K00440	0	0.0000000000
K00441	0	0.0000000000
K00442	0	0.0000000000
K00443	0	0.0000000000
