KOs	KO_count	KO_frequency
K00001	1551	0.1367122080
K00002	412	0.0363155575
K00003	7121	0.6276773909
K00004	2310	0.2036139268
K00005	1855	0.1635081534
K00006	0	0.0000000000
K00007	1049	0.0924636404
K00008	2238	0.1972675187
K00009	1885	0.1661524901
K00010	6044	0.5327457030
K00011	113	0.0099603349
K00012	10013	0.8825914500
K00013	10504	0.9258704275
K00014	10931	0.9635081534
K00015	3263	0.2876156897
K00016	1016	0.0895548700
K00018	4933	0.4348171000
K00019	3608	0.3180255619
K00020	6344	0.5591890701
K00021	581	0.0512119877
K00022	145	0.0127809608
K00023	4490	0.3957690613
K00024	4374	0.3855442926
K00025	2969	0.2617011900
K00026	2267	0.1998237109
K00027	10410	0.9175848391
K00028	0	0.0000000000
K00029	3337	0.2941383870
K00030	6329	0.5578669017
K00031	7917	0.6978404584
K00032	1757	0.1548699868
K00033	7145	0.6297928603
K00034	7869	0.6936095196
K00035	1773	0.1562802997
K00036	8628	0.7605112384
K00037	0	0.0000000000
K00038	3069	0.2705156457
K00039	1061	0.0935213751
K00040	3472	0.3060379022
K00041	2521	0.2222124284
K00042	6071	0.5351256060
K00043	2408	0.2122520934
K00044	26	0.0022917585
K00045	2394	0.2110180696
K00046	3619	0.3189951520
K00048	736	0.0648743940
K00049	30	0.0026443367
K00051	12	0.0010577347
K00052	10346	0.9119435875
K00053	10594	0.9338034376
K00054	1597	0.1407668576
K00055	923	0.0813574262
K00057	11242	0.9909211106
K00058	10680	0.9413838695
K00059	11262	0.9926840018
K00060	3957	0.3487880123
K00061	11	0.0009695901
K00062	0	0.0000000000
K00063	0	0.0000000000
K00064	3051	0.2689290436
K00065	4992	0.4400176289
K00066	1373	0.1210224769
K00067	8806	0.7762009696
K00068	921	0.0811811371
K00069	28	0.0024680476
K00070	2	0.0001762891
K00071	2	0.0001762891
K00072	1	0.0000881446
K00073	857	0.0755398854
K00074	6203	0.5467606875
K00075	11281	0.9943587483
K00076	1977	0.1742617893
K00077	7484	0.6596738651
K00078	1282	0.1130013222
K00079	173	0.0152490084
K00081	0	0.0000000000
K00082	11	0.0009695901
K00083	12	0.0010577347
K00084	2	0.0001762891
K00085	0	0.0000000000
K00086	1510	0.1330982812
K00087	2336	0.2059056853
K00088	11270	0.9933891582
K00089	0	0.0000000000
K00090	2726	0.2402820626
K00091	4584	0.4040546496
K00093	15	0.0013221684
K00094	311	0.0274129572
K00095	0	0.0000000000
K00096	256	0.0225650066
K00097	10387	0.9155575143
K00098	1800	0.1586602027
K00099	9947	0.8767739092
K00100	70	0.0061701190
K00101	6041	0.5324812693
K00102	3139	0.2766857647
K00103	555	0.0489202292
K00104	5861	0.5166152490
K00105	10	0.0008814456
K00106	47	0.0041427942
K00107	1	0.0000881446
K00108	6633	0.5846628471
K00109	2459	0.2167474658
K00111	5260	0.4636403702
K00112	1676	0.1477302777
K00113	2387	0.2104010577
K00114	1717	0.1513442045
K00115	65	0.0057293962
K00116	5037	0.4439841340
K00117	812	0.0715733803
K00118	1880	0.1657117673
K00119	52	0.0045835170
K00120	4	0.0003525782
K00121	7947	0.7004847951
K00122	460	0.0405464963
K00123	6454	0.5688849714
K00124	2664	0.2348171000
K00125	145	0.0127809608
K00126	2671	0.2354341119
K00127	3999	0.3524900837
K00128	597	0.0526223006
K00129	106	0.0093433230
K00130	6354	0.5600705156
K00131	1965	0.1732040546
K00132	326	0.0287351256
K00133	11246	0.9912736888
K00134	11244	0.9910973997
K00135	8214	0.7240193918
K00137	2317	0.2042309387
K00138	6857	0.6044072279
K00139	40	0.0035257823
K00140	6896	0.6078448656
K00141	979	0.0862935214
K00142	224	0.0197443808
K00143	6	0.0005288673
K00145	9917	0.8741295725
K00146	2872	0.2531511679
K00147	10110	0.8911414720
K00148	4303	0.3792860291
K00149	527	0.0464521816
K00150	250	0.0220361393
K00151	2351	0.2072278537
K00152	112	0.0098721904
K00153	215	0.0189510798
K00154	4812	0.4241516086
K00155	67	0.0059056853
K00156	4711	0.4152490084
K00157	1	0.0000881446
K00158	52	0.0045835170
K00161	3711	0.3271044513
K00162	3721	0.3279858969
K00163	7432	0.6550903482
K00164	10026	0.8837373292
K00166	3789	0.3339797268
K00167	3793	0.3343323050
K00169	297	0.0261789335
K00170	246	0.0216835610
K00171	604	0.0532393125
K00172	315	0.0277655355
K00174	1897	0.1672102248
K00175	1822	0.1605993830
K00176	1593	0.1404142794
K00177	1118	0.0985456148
K00179	1465	0.1291317761
K00180	1448	0.1276333186
K00181	0	0.0000000000
K00182	0	0.0000000000
K00184	161	0.0141912737
K00185	1932	0.1702952843
K00186	26	0.0022917585
K00187	657	0.0579109740
K00188	100	0.0088144557
K00189	11	0.0009695901
K00192	87	0.0076685765
K00193	13	0.0011458792
K00194	24	0.0021154694
K00195	0	0.0000000000
K00196	1110	0.0978404584
K00197	60	0.0052886734
K00198	136	0.0119876598
K00200	455	0.0401057735
K00201	431	0.0379903041
K00202	432	0.0380784487
K00203	1	0.0000881446
K00204	166	0.0146319965
K00205	96	0.0084618775
K00206	783	0.0690171882
K00207	0	0.0000000000
K00208	8207	0.7234023799
K00209	3493	0.3078889379
K00211	100	0.0088144557
K00212	0	0.0000000000
K00213	76	0.0066989863
K00214	4	0.0003525782
K00215	11218	0.9888056413
K00216	1905	0.1679153812
K00217	1411	0.1243719700
K00218	141	0.0124283825
K00219	5728	0.5048920229
K00220	2240	0.1974438078
K00221	231	0.0203613927
K00222	29	0.0025561922
K00223	5	0.0004407228
K00224	5	0.0004407228
K00225	0	0.0000000000
K00226	796	0.0701630674
K00227	1793	0.1580431908
K00228	9041	0.7969149405
K00230	2738	0.2413397973
K00231	2193	0.1933010137
K00232	386	0.0340237990
K00233	620	0.0546496254
K00234	8302	0.7317761128
K00235	8245	0.7267518731
K00236	2474	0.2180696342
K00237	0	0.0000000000
K00239	2422	0.2134861172
K00240	2327	0.2051123843
K00241	7830	0.6901718819
K00242	8317	0.7330982812
K00243	3746	0.3301895108
K00244	2257	0.1989422653
K00245	2262	0.1993829881
K00246	2243	0.1977082415
K00247	2193	0.1933010137
K00248	5049	0.4450418687
K00249	4111	0.3623622741
K00251	0	0.0000000000
K00252	6238	0.5498457470
K00253	5913	0.5211987660
K00254	10293	0.9072719260
K00255	2958	0.2607315998
K00257	12	0.0010577347
K00258	9	0.0007933010
K00259	5125	0.4517408550
K00260	2765	0.2437197003
K00261	1329	0.1171441164
K00262	5841	0.5148523579
K00263	3325	0.2930806523
K00264	1457	0.1284266197
K00265	9361	0.8251211988
K00266	8564	0.7548699868
K00270	31	0.0027324813
K00271	11	0.0009695901
K00272	5	0.0004407228
K00273	482	0.0424856765
K00274	4303	0.3792860291
K00275	9892	0.8719259586
K00276	968	0.0853239312
K00277	11	0.0009695901
K00278	8704	0.7672102248
K00279	194	0.0171000441
K00280	20	0.0017628911
K00281	8432	0.7432349052
K00282	1333	0.1174966946
K00283	1329	0.1171441164
K00284	61	0.0053768180
K00285	7267	0.6405464963
K00286	10801	0.9520493610
