KOs	KO_count	KO_frequency
K00001	1500	0.1722158439
K00002	275	0.0315729047
K00003	5896	0.6769230769
K00004	2147	0.2464982778
K00005	1831	0.2102181401
K00006	0	0.0000000000
K00007	1047	0.1202066590
K00008	1807	0.2074626866
K00009	1863	0.2138920781
K00010	5106	0.5862227325
K00011	19	0.0021814007
K00012	7702	0.8842709529
K00013	8357	0.9594718714
K00014	8620	0.9896670494
K00015	2735	0.3140068886
K00016	816	0.0936854191
K00018	3795	0.4357060850
K00019	3321	0.3812858783
K00020	5605	0.6435132032
K00021	504	0.0578645235
K00022	20	0.0022962113
K00023	4424	0.5079219288
K00024	2387	0.2740528129
K00025	2723	0.3126291619
K00026	2264	0.2599311137
K00027	8170	0.9380022962
K00028	0	0.0000000000
K00029	3276	0.3761194030
K00030	5433	0.6237657865
K00031	6215	0.7135476464
K00032	1755	0.2014925373
K00033	5989	0.6876004592
K00034	6487	0.7447761194
K00035	1771	0.2033295063
K00036	7506	0.8617680827
K00037	0	0.0000000000
K00038	2629	0.3018369690
K00039	1052	0.1207807118
K00040	3398	0.3901262916
K00041	1676	0.1924225029
K00042	5968	0.6851894374
K00043	2308	0.2649827784
K00044	11	0.0012629162
K00045	2162	0.2482204363
K00046	2904	0.3334098737
K00048	515	0.0591274397
K00049	2	0.0002296211
K00051	3	0.0003444317
K00052	8409	0.9654420207
K00053	8470	0.9724454650
K00054	765	0.0878300804
K00055	884	0.1014925373
K00057	8645	0.9925373134
K00058	8230	0.9448909300
K00059	8692	0.9979334099
K00060	3829	0.4396096441
K00061	9	0.0010332951
K00062	0	0.0000000000
K00063	0	0.0000000000
K00064	2705	0.3105625718
K00065	4255	0.4885189437
K00066	1319	0.1514351320
K00067	6768	0.7770378875
K00068	884	0.1014925373
K00069	18	0.0020665901
K00070	1	0.0001148106
K00071	2	0.0002296211
K00072	0	0.0000000000
K00073	821	0.0942594719
K00074	5036	0.5781859931
K00075	8667	0.9950631458
K00076	1226	0.1407577497
K00077	6387	0.7332950631
K00078	818	0.0939150402
K00079	84	0.0096440873
K00081	0	0.0000000000
K00082	5	0.0005740528
K00083	9	0.0010332951
K00084	1	0.0001148106
K00085	0	0.0000000000
K00086	1256	0.1442020666
K00087	2229	0.2559127440
K00088	8671	0.9955223881
K00089	0	0.0000000000
K00090	2722	0.3125143513
K00091	3257	0.3739380023
