KOs	KO_count	KO_frequency
K00001	11	0.0940170940
K00002	13	0.1111111111
K00003	70	0.5982905983
K00004	12	0.1025641026
K00005	0	0.0000000000
K00006	0	0.0000000000
K00007	2	0.0170940171
K00008	58	0.4957264957
K00009	0	0.0000000000
K00010	68	0.5811965812
K00011	0	0.0000000000
K00012	76	0.6495726496
K00013	70	0.5982905983
K00014	50	0.4273504274
K00015	19	0.1623931624
K00016	25	0.2136752137
K00018	16	0.1367521368
K00019	2	0.0170940171
K00020	60	0.5128205128
K00021	4	0.0341880342
K00022	0	0.0000000000
K00023	0	0.0000000000
K00024	12	0.1025641026
K00025	93	0.7948717949
K00026	0	0.0000000000
K00027	28	0.2393162393
K00028	0	0.0000000000
K00029	13	0.1111111111
K00030	45	0.3846153846
K00031	35	0.2991452991
K00032	0	0.0000000000
K00033	98	0.8376068376
K00034	55	0.4700854701
K00035	0	0.0000000000
K00036	98	0.8376068376
K00037	0	0.0000000000
K00038	1	0.0085470085
K00039	7	0.0598290598
K00040	0	0.0000000000
K00041	8	0.0683760684
K00042	5	0.0427350427
K00043	1	0.0085470085
K00044	0	0.0000000000
K00045	27	0.2307692308
K00046	13	0.1111111111
K00048	0	0.0000000000
K00049	14	0.1196581197
K00051	9	0.0769230769
K00052	59	0.5042735043
K00053	70	0.5982905983
K00054	0	0.0000000000
K00055	0	0.0000000000
K00057	106	0.9059829060
K00058	70	0.5982905983
K00059	117	1.0000000000
K00060	40	0.3418803419
K00061	0	0.0000000000
K00062	0	0.0000000000
K00063	0	0.0000000000
K00064	14	0.1196581197
K00065	46	0.3931623932
K00066	4	0.0341880342
K00067	67	0.5726495726
K00068	2	0.0170940171
K00069	0	0.0000000000
K00070	0	0.0000000000
K00071	0	0.0000000000
K00072	0	0.0000000000
K00073	17	0.1452991453
K00074	2	0.0170940171
K00075	110	0.9401709402
K00076	0	0.0000000000
K00077	53	0.4529914530
K00078	3	0.0256410256
K00079	0	0.0000000000
K00081	0	0.0000000000
K00082	0	0.0000000000
K00083	0	0.0000000000
K00084	0	0.0000000000
K00085	0	0.0000000000
K00086	16	0.1367521368
K00087	2	0.0170940171
K00088	97	0.8290598291
K00089	0	0.0000000000
K00090	0	0.0000000000
