KOs	KO_count	KO_frequency
K00001	0	0.0000000000
K00002	4	0.0153256705
K00003	165	0.6321839080
K00004	14	0.0536398467
K00005	1	0.0038314176
K00006	0	0.0000000000
K00007	0	0.0000000000
K00008	74	0.2835249042
K00009	4	0.0153256705
K00010	34	0.1302681992
K00011	0	0.0000000000
K00012	187	0.7164750958
K00013	187	0.7164750958
K00014	148	0.5670498084
K00015	5	0.0191570881
K00016	95	0.3639846743
K00018	45	0.1724137931
K00019	25	0.0957854406
K00020	128	0.4904214559
K00021	0	0.0000000000
K00022	0	0.0000000000
K00023	3	0.0114942529
K00024	5	0.0191570881
K00025	139	0.5325670498
K00026	0	0.0000000000
K00027	187	0.7164750958
K00028	0	0.0000000000
K00029	0	0.0000000000
K00030	128	0.4904214559
K00031	162	0.6206896552
K00032	0	0.0000000000
K00033	76	0.2911877395
K00034	107	0.4099616858
K00035	0	0.0000000000
K00036	70	0.2681992337
K00037	0	0.0000000000
K00038	24	0.0919540230
K00039	0	0.0000000000
K00040	27	0.1034482759
K00041	16	0.0613026820
K00042	11	0.0421455939
K00043	2	0.0076628352
K00044	0	0.0000000000
K00045	3	0.0114942529
K00046	22	0.0842911877
K00048	15	0.0574712644
K00049	0	0.0000000000
K00051	0	0.0000000000
K00052	183	0.7011494253
K00053	188	0.7203065134
K00054	57	0.2183908046
K00055	0	0.0000000000
K00057	255	0.9770114943
K00058	189	0.7241379310
K00059	203	0.7777777778
K00060	1	0.0038314176
K00061	0	0.0000000000
K00062	0	0.0000000000
K00063	0	0.0000000000
K00064	23	0.0881226054
K00065	135	0.5172413793
K00066	0	0.0000000000
K00067	137	0.5249042146
K00068	12	0.0459770115
K00069	0	0.0000000000
K00070	0	0.0000000000
K00071	0	0.0000000000
K00072	0	0.0000000000
K00073	17	0.0651340996
K00074	30	0.1149425287
K00075	258	0.9885057471
K00076	24	0.0919540230
K00077	175	0.6704980843
K00078	26	0.0996168582
K00079	0	0.0000000000
K00081	0	0.0000000000
K00082	0	0.0000000000
K00083	0	0.0000000000
K00084	0	0.0000000000
K00085	0	0.0000000000
K00086	97	0.3716475096
K00087	31	0.1187739464
K00088	253	0.9693486590
K00089	0	0.0000000000
K00090	0	0.0000000000
K00091	42	0.1609195402
K00093	0	0.0000000000
K00094	0	0.0000000000
K00095	0	0.0000000000
K00096	17	0.0651340996
K00097	149	0.5708812261
K00098	1	0.0038314176
