KOs	KO_count	KO_frequency
K00001	1	0.0083333333
K00002	8	0.0666666667
K00003	116	0.9666666667
K00004	16	0.1333333333
K00005	19	0.1583333333
K00006	0	0.0000000000
K00007	0	0.0000000000
K00008	28	0.2333333333
K00009	0	0.0000000000
K00010	16	0.1333333333
K00011	0	0.0000000000
K00012	118	0.9833333333
K00013	116	0.9666666667
K00014	95	0.7916666667
K00015	26	0.2166666667
K00016	16	0.1333333333
K00018	81	0.6750000000
K00019	0	0.0000000000
K00020	75	0.6250000000
K00021	0	0.0000000000
K00022	0	0.0000000000
K00023	2	0.0166666667
K00024	32	0.2666666667
K00025	4	0.0333333333
K00026	0	0.0000000000
K00027	102	0.8500000000
K00028	0	0.0000000000
K00029	11	0.0916666667
K00030	85	0.7083333333
K00031	29	0.2416666667
K00032	0	0.0000000000
K00033	42	0.3500000000
K00034	22	0.1833333333
K00035	0	0.0000000000
K00036	33	0.2750000000
K00037	0	0.0000000000
K00038	5	0.0416666667
K00039	0	0.0000000000
K00040	2	0.0166666667
K00041	1	0.0083333333
K00042	11	0.0916666667
K00043	1	0.0083333333
K00044	0	0.0000000000
K00045	1	0.0083333333
K00046	12	0.1000000000
K00048	0	0.0000000000
K00049	2	0.0166666667
K00051	0	0.0000000000
K00052	102	0.8500000000
K00053	117	0.9750000000
K00054	0	0.0000000000
K00055	7	0.0583333333
K00057	120	1.0000000000
K00058	92	0.7666666667
K00059	118	0.9833333333
K00060	20	0.1666666667
K00061	0	0.0000000000
K00062	0	0.0000000000
K00063	0	0.0000000000
K00064	0	0.0000000000
K00065	7	0.0583333333
K00066	5	0.0416666667
K00067	106	0.8833333333
K00068	0	0.0000000000
K00069	0	0.0000000000
K00070	0	0.0000000000
K00071	0	0.0000000000
K00072	1	0.0083333333
K00073	0	0.0000000000
K00074	24	0.2000000000
K00075	120	1.0000000000
K00076	1	0.0083333333
K00077	33	0.2750000000
K00078	1	0.0083333333
K00079	0	0.0000000000
K00081	0	0.0000000000
K00082	0	0.0000000000
K00083	0	0.0000000000
K00084	0	0.0000000000
K00085	0	0.0000000000
K00086	73	0.6083333333
K00087	46	0.3833333333
K00088	120	1.0000000000
K00089	0	0.0000000000
K00090	0	0.0000000000
K00091	31	0.2583333333
K00093	0	0.0000000000
K00094	0	0.0000000000
K00095	0	0.0000000000
K00096	9	0.0750000000
K00097	66	0.5500000000
K00098	1	0.0083333333
K00099	120	1.0000000000
K00100	7	0.0583333333
K00101	0	0.0000000000
K00102	12	0.1000000000
K00103	4	0.0333333333
K00104	116	0.9666666667
K00105	0	0.0000000000
K00106	0	0.0000000000
K00107	0	0.0000000000
K00108	24	0.2000000000
K00109	5	0.0416666667
K00111	91	0.7583333333
K00112	49	0.4083333333
K00113	40	0.3333333333
K00114	0	0.0000000000
K00115	0	0.0000000000
K00116	3	0.0250000000
K00117	0	0.0000000000
K00118	0	0.0000000000
K00119	0	0.0000000000
K00120	0	0.0000000000
K00121	1	0.0083333333
K00122	0	0.0000000000
K00123	10	0.0833333333
K00124	112	0.9333333333
K00125	96	0.8000000000
K00126	0	0.0000000000
K00127	40	0.3333333333
K00128	0	0.0000000000
K00129	0	0.0000000000
K00130	24	0.2000000000
K00131	26	0.2166666667
K00132	33	0.2750000000
K00133	120	1.0000000000
K00134	120	1.0000000000
K00135	44	0.3666666667
K00137	2	0.0166666667
K00138	17	0.1416666667
K00139	0	0.0000000000
K00140	12	0.1000000000
K00141	0	0.0000000000
K00142	5	0.0416666667
K00143	0	0.0000000000
K00145	119	0.9916666667
K00146	0	0.0000000000
K00147	117	0.9750000000
K00148	4	0.0333333333
K00149	1	0.0083333333
K00150	6	0.0500000000
K00151	0	0.0000000000
K00152	0	0.0000000000
K00153	0	0.0000000000
K00154	6	0.0500000000
K00155	0	0.0000000000
K00156	0	0.0000000000
K00157	0	0.0000000000
K00158	2	0.0166666667
K00161	13	0.1083333333
K00162	14	0.1166666667
K00163	6	0.0500000000
K00164	16	0.1333333333
K00166	11	0.0916666667
K00167	11	0.0916666667
K00169	24	0.2000000000
K00170	24	0.2000000000
K00171	36	0.3000000000
K00172	24	0.2000000000
K00174	111	0.9250000000
K00175	87	0.7250000000
K00176	113	0.9416666667
K00177	113	0.9416666667
K00179	111	0.9250000000
K00180	97	0.8083333333
K00181	0	0.0000000000
K00182	0	0.0000000000
K00184	13	0.1083333333
K00185	108	0.9000000000
K00186	8	0.0666666667
K00187	108	0.9000000000
K00188	3	0.0250000000
K00189	8	0.0666666667
K00192	0	0.0000000000
K00193	2	0.0166666667
K00194	18	0.1500000000
K00195	0	0.0000000000
K00196	102	0.8500000000
K00197	49	0.4083333333
K00198	80	0.6666666667
K00200	2	0.0166666667
K00201	1	0.0083333333
K00202	0	0.0000000000
K00203	0	0.0000000000
K00204	12	0.1000000000
K00205	44	0.3666666667
K00206	0	0.0000000000
K00207	0	0.0000000000
K00208	91	0.7583333333
K00209	1	0.0083333333
K00211	0	0.0000000000
K00212	0	0.0000000000
K00213	0	0.0000000000
K00214	0	0.0000000000
K00215	120	1.0000000000
K00216	0	0.0000000000
K00217	0	0.0000000000
K00218	0	0.0000000000
K00219	30	0.2500000000
K00220	12	0.1000000000
K00221	2	0.0166666667
K00222	0	0.0000000000
K00223	0	0.0000000000
K00224	0	0.0000000000
K00225	0	0.0000000000
K00226	10	0.0833333333
K00227	0	0.0000000000
K00228	0	0.0000000000
K00230	41	0.3416666667
K00231	29	0.2416666667
K00232	0	0.0000000000
K00233	73	0.6083333333
K00234	3	0.0250000000
K00235	1	0.0083333333
K00236	0	0.0000000000
K00237	0	0.0000000000
K00239	32	0.2666666667
K00240	41	0.3416666667
K00241	27	0.2250000000
K00242	6	0.0500000000
K00243	18	0.1500000000
K00244	4	0.0333333333
K00245	5	0.0416666667
K00246	1	0.0083333333
K00247	1	0.0083333333
K00248	28	0.2333333333
K00249	12	0.1000000000
K00251	0	0.0000000000
K00252	2	0.0166666667
K00253	8	0.0666666667
K00254	0	0.0000000000
K00255	7	0.0583333333
K00257	0	0.0000000000
K00258	0	0.0000000000
K00259	86	0.7166666667
K00260	6	0.0500000000
K00261	16	0.1333333333
K00262	66	0.5500000000
K00263	4	0.0333333333
K00264	3	0.0250000000
K00265	115	0.9583333333
K00266	107	0.8916666667
K00270	0	0.0000000000
K00271	0	0.0000000000
K00272	0	0.0000000000
K00273	1	0.0083333333
K00274	11	0.0916666667
K00275	7	0.0583333333
K00276	0	0.0000000000
K00277	0	0.0000000000
K00278	119	0.9916666667
K00279	1	0.0083333333
K00280	0	0.0000000000
K00281	0	0.0000000000
K00282	101	0.8416666667
K00283	101	0.8416666667
K00284	1	0.0083333333
K00285	3	0.0250000000
K00286	120	1.0000000000
K00287	24	0.2000000000
K00288	0	0.0000000000
K00289	4	0.0333333333
K00290	3	0.0250000000
K00293	0	0.0000000000
K00294	9	0.0750000000
K00295	0	0.0000000000
K00296	0	0.0000000000
K00297	101	0.8416666667
K00298	0	0.0000000000
K00299	12	0.1000000000
K00300	0	0.0000000000
K00301	3	0.0250000000
K00302	7	0.0583333333
K00303	3	0.0250000000
K00304	3	0.0250000000
K00305	1	0.0083333333
K00306	1	0.0083333333
K00307	0	0.0000000000
K00308	0	0.0000000000
K00309	1	0.0083333333
K00310	1	0.0083333333
K00311	10	0.0833333333
K00312	0	0.0000000000
K00313	11	0.0916666667
K00314	0	0.0000000000
K00315	1	0.0083333333
K00316	0	0.0000000000
K00317	0	0.0000000000
K00318	11	0.0916666667
K00319	0	0.0000000000
K00320	0	0.0000000000
K00322	1	0.0083333333
K00323	8	0.0666666667
K00324	16	0.1333333333
K00325	17	0.1416666667
K00326	0	0.0000000000
K00327	0	0.0000000000
K00330	77	0.6416666667
K00331	77	0.6416666667
K00332	93	0.7750000000
