knum	threshold	score_type	profile_type	F-measure	nseq	nseq_used	alen	mlen	eff_nseq	re/pos	definition
K00001	362.77	domain	all	0.260998	2651	2191	2056	515	13.29	0.590	alcohol dehydrogenase [EC:1.1.1.1]
K00002	443.20	full	all	0.434961	2655	2539	6676	481	6.72	0.590	alcohol dehydrogenase (NADP+) [EC:1.1.1.2]
K00003	287.10	domain	all	0.916803	6750	5822	3328	890	8.51	0.590	homoserine dehydrogenase [EC:1.1.1.3]
K00004	365.63	domain	all	0.839946	1695	1430	1194	377	4.55	0.590	(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]
K00005	329.70	full	all	0.974061	1548	1141	756	372	2.15	0.590	glycerol dehydrogenase [EC:1.1.1.6]
K00006	312.87	full	all	0.905277	2431	2252	3812	501	3.88	0.590	glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8]
K00007	497.90	full	all	0.998308	374	297	832	468	1.02	0.592	D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00008	425.50	full	all	0.518437	4107	3635	3571	625	8.50	0.590	L-iditol 2-dehydrogenase [EC:1.1.1.14]
K00009	168.27	full	all	0.998052	1652	1284	1680	457	3.00	0.590	mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]
K00010	266.10	domain	all	0.864731	4121	3623	2697	432	10.00	0.590	myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]
K00011	561.27	domain	all	0.770296	1569	1512	3873	605	3.90	0.590	aldehyde reductase [EC:1.1.1.21]
K00012	369.07	full	all	0.938716	9225	8149	5795	726	7.08	0.590	UDPglucose 6-dehydrogenase [EC:1.1.1.22]
K00013	513.17	domain	all	0.934625	7139	6282	3806	677	4.47	0.590	histidinol dehydrogenase [EC:1.1.1.23]
K00014	270.13	full	all	0.946054	4540	3814	1649	420	4.41	0.590	shikimate dehydrogenase [EC:1.1.1.25]
K00015	415.33	domain	all	0.772620	1909	1722	1708	502	4.10	0.590	glyoxylate reductase [EC:1.1.1.26]
K00016	303.40	full	all	0.904962	6110	4890	4034	449	5.19	0.590	L-lactate dehydrogenase [EC:1.1.1.27]
K00018	319.20	domain	all	0.994581	1604	1485	639	321	2.25	0.590	glycerate dehydrogenase [EC:1.1.1.29]
K00019	172.23	domain	all	0.466801	4781	4263	4563	446	8.83	0.590	3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]
K00020	229.63	full	all	0.573063	8235	7297	4118	461	10.74	0.590	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]
K00021	224.37	full	all	0.999074	2307	2162	6209	889	4.69	0.590	hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]
K00022	362.77	domain	all	0.780684	962	917	2295	472	4.80	0.590	3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]
K00023	337.93	domain	all	0.954444	2351	1921	659	290	3.08	0.590	acetoacetyl-CoA reductase [EC:1.1.1.36]
K00024	357.50	domain	all	0.841029	6129	4900	1343	417	5.93	0.590	malate dehydrogenase [EC:1.1.1.37]
K00025	532.73	full	all	0.911212	1299	1148	1992	429	4.35	0.590	malate dehydrogenase [EC:1.1.1.37]
K00026	502.80	full	all	0.860348	2254	2081	3881	534	5.30	0.590	malate dehydrogenase [EC:1.1.1.37]
K00027	461.17	domain	all	0.560100	5724	4769	4281	625	3.42	0.590	malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]
K00028	748.47	domain	all	0.963464	414	382	1395	608	1.05	0.591	malate dehydrogenase (decarboxylating) [EC:1.1.1.39]
K00029	308.60	domain	all	0.588913	7289	6363	5526	720	3.10	0.590	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]
K00030	442.13	full	all	0.935638	4043	3612	5189	543	5.01	0.590	isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]
K00031	161.83	full	all	0.815512	9754	8262	4427	545	4.61	0.590	isocitrate dehydrogenase [EC:1.1.1.42]
K00032	506.90	domain	all	0.869111	203	184	392	325	0.87	0.590	phosphogluconate 2-dehydrogenase [EC:1.1.1.43]
K00033	151.23	domain	all	0.998793	8351	7044	4516	666	4.55	0.590	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]
K00034	346.20	domain	all	0.743971	1537	1370	822	354	5.47	0.590	glucose 1-dehydrogenase [EC:1.1.1.47]
K00035	366.13	full	all	0.815476	525	456	530	308	1.27	0.590	D-galactose 1-dehydrogenase [EC:1.1.1.48]
K00036	367.73	full	all	0.994690	9227	7842	5813	608	3.72	0.590	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]
K00037	665.67	domain	all	0.697178	43	42	446	323	0.60	0.591	3alpha-hydroxysteroid 3-dehydrogenase / chlordecone reductase [EC:1.1.1.50 1.1.1.357 1.1.1.225]
K00038	309.73	domain	trim	0.850012	1418	1298	893	476	3.08	0.590	3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]
K00039	267.53	domain	all	0.998464	419	327	367	242	1.12	0.591	ribitol 2-dehydrogenase [EC:1.1.1.56]
K00040	591.97	full	all	0.711160	2148	1798	1571	773	3.55	0.590	fructuronate reductase [EC:1.1.1.57]
